taxi_dropoff_ratio_morning_peak,heating_resource,max_area_use,min_floor,parking_lot_under,pop_ratio_60s_man,max_area_supply,uuid,addr_street,pop,coord,pop_density_10s,parking_per_house,heating,addr,completion,taxi_dropoff_ratio,sectors,constructor,min_area_supply,households,slope,community,apartment_status,name,floor_area_ratio,min_area_use,slope_ratio,geometry,average_income_year,max_floor,parking_lot
0.2308,열병합,150.96,9층,0,0.035185185,196.96,apartment_1165010706,서울시 서초구 서초중앙로 220,540,POINT(127.013411 37.501879),0.042592593,1.6,지역난방,서울시 서초구 반포동 1341,2018,0.3889,11동,"에이치디씨현대산업개발(주),삼성물산(주)",77.27,829,1,1,아파트,반포래미안아이파크아파트,700.0,49.84,4.669,POINT (127.013411 37.501879),6785,34층,1
0.5,열병합,114.96,20층,0,0.048611111,155.55,apartment_1165010648,서울시 서초구 반포대로 310-6,432,POINT(127.001701 37.507069),0.143518519,1.58,지역난방,서울시 서초구 잠원동 162,2020,0.5,7동,지에스건설(주),82.17,757,1,1,아파트,반포센트럴자이아파트,1100.0,59.97,2.083,POINT (127.001701 37.507069),13884,35층,0
0.1111,도시가스,84.91,6층,1,0.035273369,109.07,apartment_1165010646,서울시 서초구 신반포로33길 15,567,POINT(127.010552 37.509144),0.162257496,1.03,개별난방,서울시 서초구 잠원동 157,2002,0.3043,8동,동아건설산업(주),81.33,991,1,0,아파트,동아아파트,1100.0,59.8,2.636,POINT (127.010552 37.509144),10566,20층,1
0.2,열병합,120.98,11층,0,0.057768924,160.83,apartment_1165010802,서울시 서초구 서운로 201,502,POINT(127.021151 37.501348),0.119521912,1.41,지역난방,서울시 서초구 서초동 1311-10,2017,0.3784,7동,(주)대우건설,80.96,907,1,1,아파트,서초푸르지오써밋아파트,1100.0,59.62,4.347,POINT (127.021151 37.501348),12365,35층,1
0.5455,열병합,133.87,16층,1,0.065491184,170.8,apartment_1165010140,서울시 서초구 방배로 21,397,POINT(126.999627 37.476841),0.073047859,1.98,지역난방,서울시 서초구 방배동 1028-1,2021,0.6,8동,지에스건설(주),72.91,758,1,1,아파트,방배그랑자이아파트,700.0,54.99,6.411,POINT (126.999627 37.476841),4029,20층,0
0.25,열병합,133.04,9층,0,0.0625,170.68,apartment_1165010713,서울시 서초구 고무래로 89,608,POINT(127.017953 37.50156),0.141447368,1.56,지역난방,서울시 서초구 반포동 1342,2018,0.4063,8동,(주)대우건설,77.86,764,1,1,아파트,반포써밋아파트,1200.0,59.32,2.976,POINT (127.017953 37.50156),16905,35층,0
0.0714,도시가스,84.82,28층,0,0.037953795,117.92,apartment_1165010603,서울시 서초구 잠원로 117,606,POINT(127.007489 37.514868),0.128712871,1.49,개별난방,서울시 서초구 잠원동 159,2018,0.4333,5동,대림산업(주),109.57,595,1,1,아파트,아크로리버뷰신반포아파트,1000.0,78.48,1.315,POINT (127.007489 37.514868),6325,35층,0
0.1,열병합,133.45,15층,1,0.069271758,154.9,apartment_1165010803,서울시 서초구 서운로 197,563,POINT(127.021806 37.500515),0.152753108,1.45,지역난방,서울시 서초구 서초동 1312-3,2006,0.2182,15동,롯데건설(주),94.91,990,1,0,아파트,롯데캐슬클래식아파트,1100.0,74.3,3.242,POINT (127.021806 37.500515),13936,27층,0
0.4167,열병합,242.26,22층,0,0.064261556,305.47,apartment_1165010852,서울시 서초구 서초중앙로 188,887,POINT(127.013031 37.498694),0.117249154,2.7,지역난방,서울시 서초구 서초동 1685-3,2004,0.5133,3동,대림산업(주),128.37,757,1,1,아파트,아크로비스타아파트,700.0,101.81,4.052,POINT (127.013031 37.498694),42915,37층,0
0.3182,열병합,153.98,23층,1,0.022167488,203.13,apartment_1165010604,서울시 서초구 잠원로 60,406,POINT(127.008408 37.510166),0.155172414,1.61,지역난방,서울시 서초구 잠원동 160,2018,0.383,7동,㈜GS건설,85.34,607,1,1,아파트,신반포자이아파트,1100.0,59.35,1.592,POINT (127.008408 37.510166),6130,28층,0
0.3,열병합,132.98,15층,0,0.049040512,173.86,apartment_1165010725,서울시 서초구 서초중앙로 206,469,POINT(127.014008 37.500695),0.089552239,1.8,지역난방,서울시 서초구 반포동 32-8,2021,0.4667,6동,현대건설(주),69.11,848,1,1,아파트,디에이치라클라스아파트,1200.0,50.98,6.449,POINT (127.014008 37.500695),6785,35층,0
0.4074,열병합,84.87,12층,0,0.055464927,105.86,apartment_1165010854,서울시 서초구 서초중앙로24길 43,613,POINT(127.018584 37.496155),0.099510604,0.7,지역난방,서울시 서초구 서초동 1687,1993,0.5217,4동,유원건설(주),105.8,590,1,0,아파트,유원서초아파트,900.0,84.82,5.166,POINT (127.018584 37.496155),15687,18층,1
0.3194,열병합,134.27,16층,1,0.050259965,171.74,apartment_1165010855,서울시 서초구 서운로 104,577,POINT(127.027121 37.492859),0.117850953,1.44,지역난방,서울시 서초구 서초동 1754,2018,0.3932,5동,삼성물산(주),111.13,593,1,1,아파트,래미안서초에스티지S아파트,1300.0,84.17,3.156,POINT (127.027121 37.492859),3601,32층,1
0.2353,열병합,157.2,13층,1,0.057640751,170.14,apartment_1165010811,서울시 서초구 사임당로 137,746,POINT(127.023953 37.492018),0.124664879,1.0,중앙난방,서울시 서초구 서초동 1333,1978,0.3913,6동,신동아건설(주),82.17,893,1,1,재건축,신동아1차아파트,700.0,75.86,2.21,POINT (127.023953 37.492018),13611,13층,1
0.2083,도시가스,84.91,12층,1,0.095057034,101.38,apartment_1165010201,서울시 서초구 바우뫼로 91,526,POINT(127.031343 37.474905),0.079847909,0.94,중앙난방,서울시 서초구 양재동 154-2,1991,0.3636,10동,우성건설,89.42,794,1,1,아파트,양재우성아파트,500.0,73.15,2.046,POINT (127.031343 37.474905),12661,15층,1
0.2,열병합,84.52,15층,1,0.033950617,94.42,apartment_1165010619,서울시 서초구 잠원로 150,648,POINT(127.010428 37.516),0.188271605,1.0,지역난방,서울시 서초구 잠원동 56-3,1992,0.3659,7동,한신공영,94.42,540,1,0,아파트,잠원한신아파트,900.0,84.52,1.806,POINT (127.010428 37.516),9625,15층,1
0.4,도시가스,165.5,21층,0,0.083018868,213.47,apartment_1165010311,서울시 서초구 양재대로2길 109,530,POINT(127.013065 37.456552),0.067924528,2.0,개별난방,서울시 서초구 우면동 753,2013,0.5455,6동,울트라건설(주),128.07,550,1,1,아파트,서초호반써밋아파트,0.0,101.01,3.452,POINT (127.013065 37.456552),17228,25층,0
0.1333,열병합,133.06,15층,0,0.035955056,169.02,apartment_1165010602,서울시 서초구 잠원로8길 35,445,POINT(127.012151 37.515289),0.166292135,1.55,지역난방,서울시 서초구 잠원동 158,2016,0.25,7동,삼성물산(주),111.79,843,1,1,아파트,래미안신반포팰리스아파트,900.0,84.42,1.947,POINT (127.012151 37.515289),15241,35층,1
0.1818,도시가스,216.27,10층,0,0.063903282,251.51,apartment_1165010116,서울시 서초구 방배천로18길 11,579,POINT(126.984676 37.483848),0.094991364,1.57,개별난방,서울시 서초구 방배동 424-28,2013,0.2,11동,롯데건설(주),84.27,744,1,1,아파트,방배롯데캐슬아르떼아파트,400.0,59.97,3.587,POINT (126.984676 37.483848),7825,18층,0
0.1667,도시가스,134.76,11층,0,0.043715847,163.97,apartment_1165010109,서울시 서초구 서초대로1길 30,366,POINT(126.983417 37.489189),0.12568306,1.23,개별난방,서울시 서초구 방배동 1344,1999,0.3333,8동,현대건설(주),85.04,644,1,1,아파트,방배현대홈타운1차아파트,600.0,59.94,1.43,POINT (126.983417 37.489189),18198,20층,1
0.3846,열병합,160.46,15층,1,0.085526316,172.16,apartment_1165010804,서울시 서초구 서초대로 385,608,POINT(127.022911 37.497326),0.100328947,1.21,지역난방,서울시 서초구 서초동 1315,1979,0.4571,7동,진흥기업(주),107.5,615,1,0,아파트,진흥아파트,1000.0,101.32,2.565,POINT (127.022911 37.497326),19360,15층,1
0.0769,도시가스,174.5,17층,0,0.101123596,201.28,apartment_1165010102,서울시 서초구 남부순환로 2311-12,445,POINT(127.005111 37.477688),0.080898876,2.11,개별난방,서울시 서초구 방배동 1008-2,2004,0.125,10동,삼성물산(주),126.48,588,0,1,아파트,방배래미안아트힐아파트,900.0,105.27,5.801,POINT (127.005111 37.477688),16445,24층,0
0.5,열병합,244.66,22층,1,0.084720121,337.19,apartment_1165010829,서울시 서초구 서초중앙로 15,661,POINT(127.016089 37.482825),0.072617247,2.37,지역난방,서울시 서초구 서초동 1446-11,2003,0.56,4동,현대건설(주),204.96,645,1,0,아파트,현대슈퍼빌아파트,1100.0,147.86,5.236,POINT (127.016089 37.482825),16829,46층,0
0.125,도시가스,84.79,7층,1,0.073979592,121.75,apartment_1165011104,서울시 서초구 청계산로9길 1-12,392,POINT(127.055535 37.449807),0.119897959,1.05,개별난방,서울시 서초구 신원동 619,2015,0.3333,11동,계룡건설산업(주),86.35,585,1,1,아파트,서초포레스타6단지아파트,100.0,59.93,2.794,POINT (127.055535 37.449807),6105,7층,1
0.0588,도시가스,114.92,5층,1,0.062068966,154.33,apartment_1165011102,서울시 서초구 청계산로7길 43,435,POINT(127.05712 37.451524),0.096551724,1.27,개별난방,서울시 서초구 신원동 579,2014,0.3077,11동,"한신공영(주), 에이스종합건설(주)",80.4,547,0,1,아파트,서초포레스타5단지아파트,100.0,59.93,4.109,POINT (127.05712 37.451524),4996,17층,1
0.5,열병합,76.32,12층,0,0.069400631,81.69,apartment_1165010621,서울시 서초구 나루터로4길 39,634,POINT(127.01371 37.512468),0.105678233,0.0,지역난방,서울시 서초구 잠원동 58-16,1981,0.5,5동,한신공영(주),57.64,876,1,1,재건축,신반포10차아파트,900.0,53.88,1.649,POINT (127.01371 37.512468),9984,12층,0
0.5,열병합,143.03,12층,0,0.069400631,154.86,apartment_1165010626,서울시 서초구 나루터로4길 28,634,POINT(127.012084 37.511337),0.105678233,0.0,지역난방,서울시 서초구 잠원동 60-3,1981,0.5,9동,한신공영(주),56.43,864,1,0,재건축,신반포8차아파트,1100.0,52.74,1.461,POINT (127.012084 37.511337),16725,12층,1
0.5,열병합,121.6,25층,1,0.032178218,156.21,apartment_1165010651,서울시 서초구 잠원동 74-1번지 외 1필지,404,POINT(127.003006 37.507392),0.034653465,1.77,지역난방,서울시 서초구 잠원동 74-1번지 외 1필지,2022,0.5,7동,롯데건설(주),79.34,596,1,1,아파트분양권,반포르엘아파트,1200.0,59.94,11.218,POINT (127.003006 37.507392),17266,35층,0
0.25,열병합,95.8,21층,0,0.042105263,125.96,apartment_1165010801,서울시 서초구 서운로 221,380,POINT(127.020359 37.502179),0.1,1.28,지역난방,서울시 서초구 서초동 1301-6,2009,0.375,3동,삼성물산(주),80.1,392,1,0,아파트,래미안서초스위트아파트,1100.0,59.99,2.395,POINT (127.020359 37.502179),24180,31층,0
0.2,열병합,176.35,11층,0,0.073275862,224.42,apartment_1165010853,서울시 서초구 서초중앙로24길 33,696,POINT(127.017375 37.496937),0.100574713,1.75,지역난방,서울시 서초구 서초동 1686-9,2010,0.4,6동,대림산업(주),81.47,435,1,0,아파트,서초교대e편한세상아파트,900.0,59.9,11.612,POINT (127.017375 37.496937),19651,20층,0
0.1176,열병합,144.99,15층,0,0.070376432,183.93,apartment_1165010810,서울시 서초구 서운로 107,611,POINT(127.025172 37.492833),0.091653028,1.47,지역난방,서울시 서초구 서초동 1332-13,2016,0.3333,4동,삼성물산(주),85.16,421,1,1,아파트,래미안서초에스티지아파트,700.0,59.99,2.084,POINT (127.025172 37.492833),14018,33층,0
0.2727,열병합,155.95,25층,0,0.025920873,190.99,apartment_1165010707,서울시 서초구 신반포로16길 15-20,733,POINT(126.996878 37.501541),0.227830832,1.76,지역난방,서울시 서초구 반포동 16-6,2012,0.3889,5동,현대건설(주),86.6,397,1,0,아파트,반포힐스테이트아파트,600.0,59.7,3.669,POINT (126.996878 37.501541),20841,29층,0
0.3,도시가스,84.53,15층,1,0.025641026,101.08,apartment_1165010615,서울시 서초구 잠원로 166-17,624,POINT(127.012699 37.517893),0.190705128,0.9,지역난방,서울시 서초구 잠원동 53-15,1987,0.5,4동,한신공영,89.35,360,1,0,아파트,강변아파트,900.0,66.29,2.63,POINT (127.012699 37.517893),13696,15층,0
0.1579,도시가스,84.99,13층,1,0.046296296,116.25,apartment_1165010313,서울시 서초구 양재대로2길 11,648,POINT(127.025146 37.45932),0.115740741,1.17,개별난방,서울시 서초구 우면동 789,2013,0.3548,3동,울트라건설(주) 외1,81.97,358,1,1,아파트,LH서초5단지아파트,100.0,59.93,1.837,POINT (127.025146 37.45932),10591,25층,0
0.2586,도시가스,134.91,19층,1,0.107784431,167.83,apartment_1165010808,서울시 서초구 서초대로74길 30,167,POINT(127.026894 37.494502),0.065868263,1.0,지역난방,서울시 서초구 서초동 1326-17,1998,0.3977,2동,(주)우성건설,74.48,408,1,1,아파트,우성5차아파트,1600.0,57.26,1.697,POINT (127.026894 37.494502),21471,23층,0
0.2,(주),106.19,12층,0,0.041841004,114.1,apartment_1165010611,서울시 서초구 잠원로14길 41,717,POINT(127.014839 37.516073),0.111576011,0.96,한신공영,서울시 서초구 잠원동 50-5,1982,0.5,3동,수도배관(공용배관) 교체완료(2021년),59.35,324,1,0,재건축,신반포12차아파트,600.0,55.45,2.147,POINT (127.014839 37.516073),3086,12층,0
0.0333,도시가스,84.86,14층,0,0.034261242,109.65,apartment_1165010633,서울시 서초구 신반포로33길 66,467,POINT(127.008403 37.514334),0.124197002,0.0,개별난방,서울시 서초구 잠원동 63-2,1998,0.381,2동,주식회사 청구,80.09,347,1,0,아파트,신반포청구아파트,900.0,59.55,1.495,POINT (127.008403 37.514334),10225,18층,0
0.0909,열병합,83.12,11층,0,0.017699115,91.49,apartment_1165010617,서울시 서초구 잠원로 157,339,POINT(127.00991 37.517509),0.08259587,0.0,지역난방,서울시 서초구 잠원동 55-12,1983,0.2449,2동,한신공영(주),57.58,396,1,0,아파트,신반포16차아파트,900.0,52.32,5.597,POINT (127.00991 37.517509),9647,11층,0
0.3,열병합,126.62,10층,0,0.038167939,159.29,apartment_1165010138,서울시 서초구 명달로9길 57,655,POINT(127.002326 37.480072),0.091603053,1.62,지역난방,서울시 서초구 방배동 3278,2018,0.4118,5동,지에스건설(주),80.56,353,1,1,아파트,방배아트자이아파트,700.0,59.9,5.893,POINT (127.002326 37.480072),10067,15층,0
0.3913,도시가스,147.26,14층,1,0.05075188,176.05,apartment_1165010110,서울시 서초구 서초대로1길 34,532,POINT(126.98384 37.490473),0.142857143,1.26,개별난방,서울시 서초구 방배동 2001,2001,0.5128,6동,현대건설,81.58,384,1,0,아파트,방배현대홈타운2차아파트,400.0,59.86,1.324,POINT (126.98384 37.490473),10344,20층,0
0.2105,도시가스,84.99,21층,1,0.033568905,116.53,apartment_1165010314,서울시 서초구 양재대로2길 33,566,POINT(127.023515 37.458206),0.153710247,0.0,개별난방,서울시 서초구 우면동 788,2013,0.4138,4동,울트라건설(주),71.15,424,1,1,아파트,서초LH4단지아파트,100.0,51.89,1.633,POINT (127.023515 37.458206),11536,25층,0
0.55,도시가스,70.49,12층,0,0.022727273,101.38,apartment_1165010809,서울시 서초구 강남대로53길 11,396,POINT(127.027795 37.49396),0.015151515,0.73,개별난방,서울시 서초구 서초동 1330,2002,0.5854,1동,삼성중공업(주),50.59,365,1,0,아파트,삼성쉐르빌II아파트,1300.0,35.17,1.156,POINT (127.027795 37.49396),8004,21층,0
0.0313,도시가스,114.81,9층,1,0.077858881,155.43,apartment_1165011101,서울시 서초구 헌릉로8길 22,411,POINT(127.058977 37.454873),0.065693431,1.25,개별난방,서울시 서초구 신원동 568,2014,0.2045,8동,한신공영(주)외1,82.02,482,1,1,아파트,서초포레스타3단지아파트,200.0,59.93,4.571,POINT (127.058977 37.454873),12935,19층,0
0.5,열병합,148.86,10층,0,0.063432836,168.28,apartment_1165010610,서울시 서초구 잠원로14길 23,536,POINT(127.016434 37.518663),0.138059701,1.99,지역난방,서울시 서초구 잠원동 50-1,2004,0.5,8동,롯데건설주식회사,128.98,428,1,0,아파트,롯데캐슬갤럭시2차아파트,900.0,109.56,2.082,POINT (127.016434 37.518663),16385,28층,0
0.6,열병합,235.86,20층,1,0.040723982,286.95,apartment_1165010827,서울시 서초구 서초중앙로2길 21,442,POINT(127.018345 37.484115),0.076923077,3.42,지역난방,서울시 서초구 서초동 1445-14,2006,0.5897,3동,(주)포스코건설,43.93,329,1,1,아파트,더샵서초아파트,1100.0,30.39,5.903,POINT (127.018345 37.484115),18212,32층,0
0.2,열병합,133.37,15층,1,0.017073171,172.8,apartment_1165010647,서울시 서초구 잠원로14길 32,410,POINT(127.013762 37.518478),0.119512195,1.81,지역난방,서울시 서초구 잠원동 161,2019,0.5556,6동,삼성물산㈜,85.91,475,1,1,아파트,래미안신반포리오센트아파트,900.0,59.92,3.168,POINT (127.013762 37.518478),12293,32층,0
0.3659,도시가스,66.41,18층,0,0.037227214,90.38,apartment_1165010828,서울시 서초구 서초중앙로 26,779,POINT(127.016915 37.484562),0.02182285,0.82,개별난방,서울시 서초구 서초동 1445-4,2003,0.4013,1동,삼성물산(주),46.34,440,1,1,아파트,래미안서초유니빌아파트,1100.0,34.05,3.757,POINT (127.016915 37.484562),7247,24층,0
0.3393,도시가스,80.59,33층,1,0.031104199,107.07,apartment_1165010858,서울시 서초구 반포대로18길 36,1286,POINT(127.011758 37.486804),0.069984448,1.14,개별난방,서울시 서초구 서초동 1582-3,2020,0.4651,2동,현대산업개발(주),104.92,318,1,1,아파트,서초센트럴아이파크아파트,600.0,80.5,5.315,POINT (127.011758 37.486804),267,33층,0
0.0909,열병합,71.49,15층,0,0.049099836,92.94,apartment_1165010718,서울시 서초구 사평대로 240,611,POINT(127.007462 37.502504),0.111292962,1.0,지역난방,서울시 서초구 반포동 60-5,1989,0.3333,3동,한보주택건설,76.99,435,1,0,아파트,반포미도2차아파트,900.0,59.07,4.313,POINT (127.007462 37.502504),5200,15층,0
0.3636,도시가스,37.67,4층,1,0.033112583,50.51,apartment_1165010130,서울시 서초구 서초대로 17,604,POINT(126.984241 37.485971),0.051324503,1.06,개별난방,서울시 서초구 방배동 866-20,2005,0.4118,1동,(주)대우건설,38.67,412,1,0,아파트,방배대우디오빌아파트,600.0,28.84,4.116,POINT (126.984241 37.485971),9165,22층,0
0.3125,열병합,84.53,11층,0,0.051597052,103.75,apartment_1165010608,서울시 서초구 잠원로 213-10,407,POINT(127.015231 37.521491),0.137592138,1.0,지역난방,서울시 서초구 잠원동 49-8,1989,0.52,5동,한신공영(주),94.84,450,1,0,아파트,한강아파트,1400.0,76.68,1.668,POINT (127.015231 37.521491),13601,15층,0
0.25,도시가스,164.46,8층,0,0.0625,210.7,apartment_1165010134,서울시 서초구 효령로33길 50,512,POINT(126.998447 37.484312),0.080078125,1.88,개별난방,서울시 서초구 방배동 906-13,2010,0.4545,9동,대림산업(주),83.92,496,0,1,아파트,방배서리풀e-편한세상아파트,400.0,59.94,9.62,POINT (126.998447 37.484312),19472,15층,0
0.4167,열병합,162.77,12층,1,0.034836066,164.16,apartment_1165010123,서울시 서초구 방배로43길 5,488,POINT(126.987687 37.495335),0.116803279,2.38,지역난방,서울시 서초구 방배동 770-1,1975,0.6154,3동,삼호,80.85,419,1,0,아파트,삼호1차아파트,700.0,78.02,1.27,POINT (126.987687 37.495335),11284,12층,0
0.45,도시가스,174.89,12층,0,0.054702495,211.3,apartment_1165010120,서울시 서초구 동광로1길 112,1042,POINT(126.984468 37.496713),0.150671785,2.32,개별난방,서울시 서초구 방배동 754-1,2006,0.4419,5동,롯데건설(주),115.58,337,1,0,아파트,롯데캐슬헤론아파트,400.0,95.66,1.31,POINT (126.984468 37.496713),5002,29층,0
0.125,열병합,84.8,3층,1,0.059701493,109.27,apartment_1165010820,서울시 서초구 효령로72길 14,402,POINT(127.023523 37.485942),0.114427861,1.0,지역난방,서울시 서초구 서초동 1346,1989,0.2857,5동,현대산업개발,91.52,412,1,1,아파트,현대아파트,500.0,62.05,3.139,POINT (127.023523 37.485942),12989,15층,0
0.3333,도시가스,130.89,14층,1,0.117647059,155.59,apartment_1165010301,서울시 서초구 바우뫼로7길 51,612,POINT(127.023475 37.473128),0.057189542,1.58,중앙난방,서울시 서초구 우면동 57,1995,0.375,6동,대림산업,155.59,412,0,0,아파트,대림아파트,600.0,130.89,6.729,POINT (127.023475 37.473128),9550,15층,0
0.3636,열병합,147.67,8층,0,0.072847682,175.47,apartment_1165010721,서울시 서초구 사평대로28길 31,453,POINT(127.00086 37.49929),0.092715232,1.29,지역난방,서울시 서초구 반포동 70-1,1987,0.4706,4동,한신공영(주),67.44,414,1,1,아파트,한신서래아파트,900.0,45.72,7.531,POINT (127.00086 37.49929),16364,12층,0
0.1,도시가스,117.19,12층,1,0.115303983,138.46,apartment_1165010112,서울시 서초구 방배선행길 1,477,POINT(126.982972 37.474417),0.062893082,1.0,개별난방,서울시 서초구 방배동 2525,1989,0.1667,9동,우성건설(주),98.62,468,1,0,아파트,방배우성아파트,600.0,80.2,4.012,POINT (126.982972 37.474417),20890,12층,0
0.4,도시가스,84.96,12층,0,0.065913371,105.47,apartment_1165010302,서울시 서초구 바우뫼로7길 29,531,POINT(127.023757 37.471401),0.075329567,0.85,개별난방,서울시 서초구 우면동 59,1995,0.4211,5동,(주)동양고속건설,96.98,330,0,0,아파트,동고아파트,600.0,77.14,6.718,POINT (127.023757 37.471401),8504,15층,0
