uuid,vehicle_entrance_uuid,geometry
academy_1003,localroad_4195788589,Point (126.9828701 37.4937761)
academy_1009,localroad_4185626654,Point (127.0106412 37.5008873)
academy_1018,localroad_2861410666,Point (127.0095713 37.5162598)
academy_1021,localroad_436817738,Point (127.0115903 37.5024989)
academy_1031,localroad_3462554894,Point (127.0004955 37.47937)
academy_1035,localroad_571448678,Point (127.0284792 37.4944511)
academy_1036,localroad_1962358629,Point (127.010677 37.5019187)
academy_1045,localroad_2280599507,Point (127.0265779 37.4919997)
academy_1050,localroad_1430655026,Point (127.0217224 37.5021744)
academy_1051,localroad_1445606439,Point (127.0016021 37.5057151)
academy_1053,localroad_2279487862,Point (127.0018003 37.5052577)
academy_1311,localroad_4147017218,Point (127.0078686 37.5076354)
academy_1313,localroad_11633858680,Point (127.043763 37.4652158)
academy_1317,localroad_4184070814,Point (127.0282642 37.4925089)
academy_1322,localroad_11641428829,Point (127.0048158 37.5060798)
academy_1350,localroad_2551950254,Point (126.9867077 37.4983133)
academy_1359,localroad_3827338078,Point (127.0073253 37.4869864)
academy_1379,localroad_3827338105,Point (127.0091952 37.4884836)
academy_1404,localroad_600377807,Point (127.0187502 37.5183522)
academy_1424,localroad_600377852,Point (127.017733 37.5162662)
academy_1425,localroad_2295372304,Point (127.0183638 37.4940381)
academy_1433,localroad_1962358596,Point (127.0113085 37.5012701)
academy_1474,localroad_1962358583,Point (127.010175 37.5021184)
academy_1485,localroad_4184399716,Point (127.0395072 37.4846966)
academy_1489,localroad_8486132575,Point (126.9910767 37.4744717)
academy_1530,localroad_2295372337,Point (127.019316 37.4948209)
academy_1532,localroad_600377854,Point (127.018434 37.5168542)
academy_1567,localroad_2244637675,Point (127.0032639 37.5083279)
academy_1601,localroad_4181527977,Point (127.0178284 37.5106366)
academy_1609,localroad_11641428829,Point (127.0048158 37.5060798)
academy_1692,localroad_4185626654,Point (127.0106412 37.5008873)
academy_1704,localroad_3112159933,Point (127.0175285 37.498569)
academy_1720,localroad_3827548464,Point (127.0166219 37.493501)
academy_1729,localroad_4944067989,Point (127.0252056 37.4989723)
academy_1740,localroad_1962358617,Point (127.0093392 37.5037131)
academy_1750,localroad_3804191248,Point (126.9846275 37.4908709)
academy_1775,localroad_2623456230,Point (126.9917238 37.4933121)
academy_1798,localroad_4954438710,Point (127.0141025 37.5198655)
academy_1804,localroad_3212533179,Point (127.0168075 37.4997004)
academy_1811,localroad_3212533179,Point (127.0168075 37.4997004)
academy_1821,localroad_3088424193,Point (126.9950154 37.50588)
academy_1832,localroad_1445606439,Point (127.0016021 37.5057151)
academy_1857,localroad_2244637675,Point (127.0032639 37.5083279)
academy_1858,localroad_1685716285,Point (126.9853051 37.479292)
academy_1893,localroad_1430655026,Point (127.0217224 37.5021744)
academy_1909,localroad_1962358609,Point (127.0091974 37.4986412)
academy_1910,localroad_9882864421,Point (126.9941245 37.4741353)
academy_1911,localroad_3800522729,Point (127.0248944 37.4914934)
academy_1912,localroad_3825549659,Point (127.0289835 37.4910256)
academy_1916,localroad_1445606439,Point (127.0016021 37.5057151)
academy_1920,localroad_4185920067,Point (126.9887881 37.4783429)
academy_1935,localroad_8487538012,Point (127.0068179 37.5073134)
academy_1936,localroad_4738140916,Point (127.0009618 37.5055294)
academy_1965,localroad_1925407818,Point (127.0047655 37.4821243)
academy_1966,localroad_1962358623,Point (127.0101882 37.503944)
academy_2034,localroad_1925498403,Point (127.0454708 37.4718644)
academy_2088,localroad_3827257115,Point (127.0208993 37.4840421)
academy_2090,localroad_2280599507,Point (127.0265779 37.4919997)
academy_2106,localroad_3827548044,Point (127.0159806 37.49239)
academy_2110,localroad_1962358583,Point (127.010175 37.5021184)
academy_2111,localroad_1925407817,Point (127.0042489 37.4819932)
academy_2134,localroad_8489896381,Point (127.0269036 37.497806)
academy_2169,localroad_3727772781,Point (127.0304993 37.4740026)
academy_2199,localroad_436801370,Point (127.0307069 37.4737864)
academy_2220,localroad_4954438710,Point (127.0141025 37.5198655)
academy_2241,localroad_2509978764,Point (126.9915271 37.4910431)
academy_2270,localroad_5628739393,Point (127.0127917 37.4976191)
academy_2297,localroad_2622713689,Point (127.0000741 37.4992484)
academy_2323,localroad_4184399724,Point (127.0357379 37.4840218)
academy_2328,localroad_4185626654,Point (127.0106412 37.5008873)
academy_2343,localroad_1696934669,Point (126.999993 37.4778685)
academy_2354,localroad_3827170281,Point (127.0262797 37.4871006)
academy_2366,localroad_2295372346,Point (127.02098 37.4903076)
academy_2402,localroad_3112865087,Point (127.0187886 37.49564)
academy_2452,localroad_2280599507,Point (127.0265779 37.4919997)
academy_2485,localroad_2533109226,Point (126.9876055 37.4972613)
academy_2504,localroad_1962358621,Point (127.0104414 37.5024929)
academy_2518,localroad_4185626654,Point (127.0106412 37.5008873)
academy_2519,localroad_2623456118,Point (126.9936017 37.4891762)
academy_2546,localroad_3287124761,Point (127.0003286 37.4807966)
academy_2547,localroad_3804191165,Point (126.9859898 37.4864885)
academy_2548,localroad_4185991238,Point (126.9842748 37.4847878)
academy_2577,localroad_3827548044,Point (127.0159806 37.49239)
academy_2601,localroad_1430674330,Point (127.0073801 37.4832934)
academy_2643,localroad_3011545193,Point (127.0468537 37.4730143)
academy_2671,localroad_2533109226,Point (126.9876055 37.4972613)
academy_2720,localroad_3112862148,Point (127.0142525 37.4956078)
academy_2728,localroad_2533109200,Point (126.9889672 37.4935864)
academy_2748,localroad_2861410666,Point (127.0095713 37.5162598)
academy_2751,localroad_1430674330,Point (127.0073801 37.4832934)
academy_2753,localroad_1132441037,Point (127.0010373 37.5108066)
academy_2796,localroad_2533109223,Point (126.9830425 37.4964934)
academy_2805,localroad_3827338116,Point (127.0101919 37.4888822)
academy_2824,localroad_4185805689,Point (126.9953861 37.4849385)
academy_2829,localroad_436817738,Point (127.0115903 37.5024989)
academy_2830,localroad_3827337507,Point (127.0089235 37.4835923)
academy_2834,localroad_414683494,Point (127.0371526 37.4617177)
academy_2836,localroad_6337049852,Point (127.0322125 37.4848913)
academy_2862,localroad_4184585272,Point (127.0426607 37.4685657)
academy_2867,localroad_2295372346,Point (127.02098 37.4903076)
academy_2903,localroad_3827170276,Point (127.0316269 37.4870324)
academy_2912,localroad_1132441037,Point (127.0010373 37.5108066)
academy_2951,localroad_571449373,Point (127.0234914 37.4984882)
academy_2966,localroad_2932859105,Point (127.0275072 37.4941516)
academy_2968,localroad_2533109219,Point (126.9883078 37.4961653)
academy_2971,localroad_3088864938,Point (127.0172885 37.5153735)
academy_2981,localroad_2622713691,Point (126.9983159 37.4992582)
academy_2983,localroad_1925498516,Point (127.0421599 37.4729346)
academy_2984,localroad_1962358596,Point (127.0113085 37.5012701)
academy_3042,localroad_3825549657,Point (127.0253334 37.4905603)
academy_3046,localroad_1696934690,Point (127.0015179 37.4801609)
academy_3053,localroad_595776308,Point (127.0164075 37.517563)
academy_3068,localroad_4185626653,Point (127.0119577 37.5094558)
academy_3069,localroad_4185626653,Point (127.0119577 37.5094558)
academy_3071,localroad_4185626653,Point (127.0119577 37.5094558)
academy_3072,localroad_4185626653,Point (127.0119577 37.5094558)
academy_3076,localroad_1696934735,Point (126.9938079 37.4836053)
academy_3082,localroad_4954438710,Point (127.0141025 37.5198655)
academy_3083,localroad_11641428828,Point (127.0035678 37.5056944)
academy_3084,localroad_1925380126,Point (127.0324325 37.4746683)
academy_3085,localroad_436854295,Point (127.0066911 37.4782428)
academy_3086,localroad_1685695012,Point (126.9859583 37.4785856)
academy_3087,localroad_3804191165,Point (126.9859898 37.4864885)
academy_3090,localroad_4107783310,Point (126.9963924 37.486061)
academy_3091,localroad_3112865087,Point (127.0187886 37.49564)
academy_3093,localroad_4101372795,Point (126.9844667 37.4793186)
academy_3098,localroad_1685686596,Point (126.9839232 37.4787916)
academy_3099,localroad_2280599507,Point (127.0265779 37.4919997)
academy_3101,localroad_12147442531,Point (126.9864003 37.5021971)
academy_3102,localroad_12147442531,Point (126.9864003 37.5021971)
academy_3104,localroad_927736373,Point (127.044505 37.4696685)
academy_3106,localroad_595776308,Point (127.0164075 37.517563)
academy_3108,localroad_4186016193,Point (126.9833082 37.4895547)
academy_3115,localroad_4184425791,Point (127.0413948 37.4793882)
academy_3117,localroad_1685686384,Point (126.9861902 37.4833484)
academy_3123,localroad_1925498528,Point (127.0442535 37.4730782)
academy_3130,localroad_2861410666,Point (127.0095713 37.5162598)
academy_3134,localroad_4185715616,Point (127.0090411 37.4807881)
academy_3135,localroad_4634856227,Point (127.0246111 37.4712518)
academy_3139,localroad_1685716285,Point (126.9853051 37.479292)
academy_3142,localroad_3212533179,Point (127.0168075 37.4997004)
academy_3144,localroad_2622713689,Point (127.0000741 37.4992484)
academy_3149,localroad_2295372314,Point (127.0164416 37.4924545)
academy_3152,localroad_4634856426,Point (127.0252748 37.471323)
academy_3153,localroad_3827337507,Point (127.0089235 37.4835923)
academy_3155,localroad_4954438710,Point (127.0141025 37.5198655)
academy_3158,localroad_3827170281,Point (127.0262797 37.4871006)
academy_3159,localroad_600377852,Point (127.017733 37.5162662)
academy_3161,localroad_436817738,Point (127.0115903 37.5024989)
academy_3168,localroad_2533109219,Point (126.9883078 37.4961653)
academy_3169,localroad_4185879872,Point (126.9926751 37.4816991)
academy_3765,localroad_2623456230,Point (126.9917238 37.4933121)
academy_3772,localroad_3825549659,Point (127.0289835 37.4910256)
academy_3774,localroad_3825549659,Point (127.0289835 37.4910256)
academy_3799,localroad_4944067989,Point (127.0252056 37.4989723)
academy_3800,localroad_436882863,Point (126.9875481 37.4777163)
academy_3822,localroad_1962358636,Point (127.0099907 37.4995893)
academy_3823,localroad_12147442531,Point (126.9864003 37.5021971)
academy_3824,localroad_3112158621,Point (127.0141109 37.5000071)
academy_3865,localroad_2623345916,Point (126.9953376 37.4913154)
academy_3866,localroad_2623345916,Point (126.9953376 37.4913154)
academy_3876,localroad_2533109226,Point (126.9876055 37.4972613)
academy_3877,localroad_1696934669,Point (126.999993 37.4778685)
academy_3878,localroad_4184070814,Point (127.0282642 37.4925089)
academy_3882,localroad_4899542143,Point (127.0150808 37.50435)
academy_3891,localroad_3827170269,Point (127.030976 37.4868354)
academy_3918,localroad_436844216,Point (126.9980012 37.4808984)
academy_3946,localroad_11641428828,Point (127.0035678 37.5056944)
academy_3958,localroad_4634856429,Point (127.0264227 37.471657)
academy_3959,localroad_3804191167,Point (126.9871497 37.4866112)
academy_3971,localroad_4147053966,Point (127.0059882 37.5070592)
academy_3976,localroad_3088864938,Point (127.0172885 37.5153735)
academy_4005,localroad_2509978764,Point (126.9915271 37.4910431)
academy_4006,localroad_1430655018,Point (127.0247036 37.502368)
academy_4008,localroad_4185835030,Point (126.9973292 37.4819279)
academy_4013,localroad_2280599507,Point (127.0265779 37.4919997)
academy_4036,localroad_3804191181,Point (126.9831418 37.4874249)
academy_4047,localroad_4185683883,Point (127.0128561 37.4838664)
academy_4055,localroad_2280599507,Point (127.0265779 37.4919997)
academy_4074,localroad_436849906,Point (126.9928961 37.4874454)
academy_4127,localroad_3800522729,Point (127.0248944 37.4914934)
academy_4130,localroad_1962358589,Point (127.0116707 37.4997092)
academy_4167,localroad_2244637675,Point (127.0032639 37.5083279)
academy_4176,localroad_1430674330,Point (127.0073801 37.4832934)
academy_4222,localroad_8489062936,Point (127.0105114 37.5033457)
academy_4228,localroad_8487538014,Point (127.0076217 37.5075597)
academy_4279,localroad_3398354555,Point (127.0446528 37.4733433)
academy_4309,localroad_1962358595,Point (127.0106018 37.499595)
academy_4338,localroad_3827548475,Point (127.0189385 37.4942201)
academy_4358,localroad_2624211577,Point (126.983327 37.4909038)
academy_4386,localroad_3827338139,Point (127.0123279 37.4899383)
academy_4400,localroad_1962358623,Point (127.0101882 37.503944)
academy_4412,localroad_2622874586,Point (126.991374 37.498158)
academy_4424,localroad_4634856427,Point (127.0254228 37.4710241)
academy_4428,localroad_2295372346,Point (127.02098 37.4903076)
academy_4457,localroad_9657790297,Point (127.028914 37.486291)
academy_4468,localroad_436853888,Point (126.9979961 37.4999388)
academy_4470,localroad_2533109223,Point (126.9830425 37.4964934)
academy_4484,localroad_4185626654,Point (127.0106412 37.5008873)
academy_4487,localroad_2295372338,Point (127.019529 37.4944069)
academy_4489,localroad_1962358617,Point (127.0093392 37.5037131)
academy_4519,localroad_1962358589,Point (127.0116707 37.4997092)
academy_4538,localroad_1962358583,Point (127.010175 37.5021184)
academy_4566,localroad_3825549664,Point (127.0290187 37.4927368)
academy_4569,localroad_1445606439,Point (127.0016021 37.5057151)
academy_4586,localroad_8485785002,Point (126.9877523 37.4769365)
academy_4587,localroad_2863407020,Point (127.0460832 37.4717575)
academy_4590,localroad_1132441037,Point (127.0010373 37.5108066)
academy_4599,localroad_436817738,Point (127.0115903 37.5024989)
academy_4614,localroad_2623456230,Point (126.9917238 37.4933121)
academy_4645,localroad_1962358614,Point (127.0093502 37.5008791)
academy_4646,localroad_4944067989,Point (127.0252056 37.4989723)
academy_4655,localroad_3212533179,Point (127.0168075 37.4997004)
academy_4672,localroad_3804191167,Point (126.9871497 37.4866112)
academy_4674,localroad_1962358640,Point (127.0100363 37.5008999)
academy_4735,localroad_3092109566,Point (126.9970753 37.483539)
academy_4736,localroad_1962358621,Point (127.0104414 37.5024929)
academy_4738,localroad_3274307602,Point (126.996645 37.4841716)
academy_4739,localroad_4185626617,Point (127.0129813 37.5192765)
academy_4740,localroad_11641428828,Point (127.0035678 37.5056944)
academy_4772,localroad_2244637675,Point (127.0032639 37.5083279)
academy_4796,localroad_3112159933,Point (127.0175285 37.498569)
academy_4876,localroad_3242828917,Point (126.9859904 37.4875291)
academy_4895,localroad_1962358596,Point (127.0113085 37.5012701)
academy_4933,localroad_1685716272,Point (126.9824652 37.4827532)
academy_4934,localroad_11738027546,Point (127.0094829 37.5074792)
academy_4942,localroad_2624211606,Point (126.9883316 37.4933273)
academy_5001,localroad_3827337508,Point (127.0096961 37.4837398)
academy_5025,localroad_2509978199,Point (126.9921346 37.4900382)
academy_5026,localroad_1685716285,Point (126.9853051 37.479292)
academy_5027,localroad_2623456118,Point (126.9936017 37.4891762)
academy_5032,localroad_8487538014,Point (127.0076217 37.5075597)
academy_5075,localroad_2280599507,Point (127.0265779 37.4919997)
academy_5077,localroad_4634856421,Point (127.0237147 37.4712669)
academy_5084,localroad_1696934743,Point (126.9957527 37.4843821)
academy_5105,localroad_2624211577,Point (126.983327 37.4909038)
academy_5119,localroad_1925498403,Point (127.0454708 37.4718644)
academy_5133,localroad_1965713723,Point (127.0142296 37.486372)
academy_5164,localroad_3089166486,Point (127.0083783 37.4876403)
academy_5165,localroad_1696934728,Point (126.9951485 37.4827176)
academy_5172,localroad_1962358640,Point (127.0100363 37.5008999)
academy_5173,localroad_3827548490,Point (127.0154793 37.4958692)
academy_5174,localroad_1925407818,Point (127.0047655 37.4821243)
academy_5195,localroad_2622874644,Point (126.9894149 37.4952181)
academy_5222,localroad_1694782908,Point (127.0395006 37.4823056)
academy_5226,localroad_436844219,Point (126.9964804 37.4832788)
academy_5227,localroad_3827337506,Point (127.0082766 37.4834687)
academy_5265,localroad_1445606439,Point (127.0016021 37.5057151)
academy_5266,localroad_4185991283,Point (126.9853692 37.4804621)
academy_5267,localroad_4185626654,Point (127.0106412 37.5008873)
academy_5291,localroad_8489062935,Point (127.0096832 37.5030681)
academy_5298,localroad_3212533179,Point (127.0168075 37.4997004)
academy_5311,localroad_3212533179,Point (127.0168075 37.4997004)
academy_5329,localroad_414684345,Point (127.0282365 37.4885147)
academy_5379,localroad_3212533179,Point (127.0168075 37.4997004)
academy_5390,localroad_11073569991,Point (127.0196369 37.5006366)
academy_5430,localroad_2244637696,Point (127.0187917 37.515873)
academy_5437,localroad_5935888704,Point (126.9980348 37.4815387)
academy_5476,localroad_1430655026,Point (127.0217224 37.5021744)
academy_5477,localroad_3827169518,Point (127.0335006 37.4854006)
academy_5480,localroad_3088864938,Point (127.0172885 37.5153735)
academy_5491,localroad_8487538014,Point (127.0076217 37.5075597)
academy_5501,localroad_1696934689,Point (126.9994385 37.4799567)
academy_5517,localroad_3827170317,Point (127.0265707 37.4879865)
academy_5518,localroad_4738140916,Point (127.0009618 37.5055294)
academy_5523,localroad_2533109194,Point (126.9837325 37.4918781)
academy_5573,localroad_2280599507,Point (127.0265779 37.4919997)
academy_5584,localroad_3827548459,Point (127.0174313 37.4932165)
academy_5586,localroad_1925498528,Point (127.0442535 37.4730782)
academy_5587,localroad_3827337502,Point (127.0043103 37.4830809)
academy_5588,localroad_436844221,Point (126.9950087 37.4855112)
academy_5621,localroad_3827548039,Point (127.0147246 37.4922607)
academy_5668,localroad_3212533179,Point (127.0168075 37.4997004)
academy_5678,localroad_3800522729,Point (127.0248944 37.4914934)
academy_5679,localroad_436844221,Point (126.9950087 37.4855112)
academy_5687,localroad_927740211,Point (127.0476085 37.4723712)
academy_5716,localroad_3827338117,Point (127.0138384 37.4889285)
academy_5724,localroad_3212533179,Point (127.0168075 37.4997004)
academy_5732,localroad_2863416045,Point (127.0463481 37.4718667)
academy_5780,localroad_4184585271,Point (127.0443351 37.4698145)
academy_5807,localroad_2533109206,Point (126.9828711 37.4939988)
academy_5821,localroad_3547291976,Point (127.0561314 37.4469673)
academy_5835,localroad_1962358636,Point (127.0099907 37.4995893)
academy_5902,localroad_4185834991,Point (126.9943157 37.4852297)
academy_5907,localroad_436841230,Point (127.0137152 37.5151987)
academy_5932,localroad_436854331,Point (127.02421 37.4969787)
academy_5940,localroad_1694784080,Point (127.0397371 37.4844534)
academy_5943,localroad_2533109193,Point (126.9827787 37.4916643)
academy_5979,localroad_3112159933,Point (127.0175285 37.498569)
academy_5980,localroad_1962358609,Point (127.0091974 37.4986412)
academy_6009,localroad_1696934706,Point (126.999224 37.481276)
academy_6017,localroad_2295372344,Point (127.0172056 37.493687)
academy_6027,localroad_3827169492,Point (127.030352 37.4851377)
academy_6037,localroad_4147053966,Point (127.0059882 37.5070592)
academy_6121,localroad_4147053966,Point (127.0059882 37.5070592)
academy_6134,localroad_2622874644,Point (126.9894149 37.4952181)
academy_6143,localroad_3132428230,Point (127.012364 37.4948111)
academy_6166,localroad_5406500185,Point (127.0163255 37.4815446)
academy_6174,localroad_2533109227,Point (126.9838173 37.4974141)
academy_6221,localroad_3827337502,Point (127.0043103 37.4830809)
academy_6230,localroad_436844219,Point (126.9964804 37.4832788)
academy_6234,localroad_1685716286,Point (126.9839594 37.4793348)
academy_6240,localroad_3827548464,Point (127.0166219 37.493501)
academy_6282,localroad_436817738,Point (127.0115903 37.5024989)
academy_6283,localroad_1962358595,Point (127.0106018 37.499595)
academy_6284,localroad_436817738,Point (127.0115903 37.5024989)
academy_6308,localroad_2295372345,Point (127.0213601 37.4932981)
academy_6325,localroad_1925380126,Point (127.0324325 37.4746683)
academy_6327,localroad_1962358621,Point (127.0104414 37.5024929)
academy_6328,localroad_571449373,Point (127.0234914 37.4984882)
academy_6337,localroad_4738140916,Point (127.0009618 37.5055294)
academy_6341,localroad_1965713684,Point (127.0127345 37.4878003)
academy_6342,localroad_2477265753,Point (127.0200649 37.5101355)
academy_6387,localroad_2533109226,Point (126.9876055 37.4972613)
academy_6390,localroad_4184425789,Point (127.0419479 37.4800049)
academy_6400,localroad_3804191161,Point (126.9885131 37.4864449)
academy_6413,localroad_1685716300,Point (126.9824315 37.4782949)
academy_6419,localroad_927740145,Point (127.0499637 37.4713216)
academy_6442,localroad_1962358596,Point (127.0113085 37.5012701)
academy_6451,localroad_3804191046,Point (126.9853513 37.4857721)
academy_6454,localroad_1694782638,Point (127.0386293 37.4804501)
academy_6482,localroad_1685716305,Point (126.982337 37.4805383)
academy_6500,localroad_11641428831,Point (126.995199 37.5031505)
academy_6509,localroad_2280599507,Point (127.0265779 37.4919997)
academy_6533,localroad_4107783310,Point (126.9963924 37.486061)
academy_6555,localroad_3825549664,Point (127.0290187 37.4927368)
academy_6583,localroad_1132441037,Point (127.0010373 37.5108066)
academy_6595,localroad_1925407821,Point (127.004016 37.4826516)
academy_6636,localroad_436844215,Point (126.998817 37.4796936)
academy_6639,localroad_2533109219,Point (126.9883078 37.4961653)
academy_6646,localroad_1925407817,Point (127.0042489 37.4819932)
academy_6647,localroad_436817738,Point (127.0115903 37.5024989)
academy_6668,localroad_4185626654,Point (127.0106412 37.5008873)
academy_6694,localroad_1132441037,Point (127.0010373 37.5108066)
academy_6701,localroad_11738027546,Point (127.0094829 37.5074792)
academy_6703,localroad_11641428831,Point (126.995199 37.5031505)
academy_6704,localroad_2533109208,Point (126.9868818 37.4941718)
academy_6721,localroad_3101791329,Point (127.0272447 37.4984526)
academy_6732,localroad_2280599507,Point (127.0265779 37.4919997)
academy_6766,localroad_2551950254,Point (126.9867077 37.4983133)
academy_6775,localroad_1962358596,Point (127.0113085 37.5012701)
academy_6777,localroad_2533109226,Point (126.9876055 37.4972613)
academy_6786,localroad_2551950254,Point (126.9867077 37.4983133)
academy_6792,localroad_2533109201,Point (126.9855227 37.4939036)
academy_6810,localroad_600377807,Point (127.0187502 37.5183522)
academy_6821,localroad_3827548461,Point (127.015206 37.4932266)
academy_6826,localroad_1685716305,Point (126.982337 37.4805383)
academy_6836,localroad_2622810001,Point (126.9976503 37.4978263)
academy_6841,localroad_436817738,Point (127.0115903 37.5024989)
academy_6857,localroad_4185626654,Point (127.0106412 37.5008873)
academy_6858,localroad_1925498528,Point (127.0442535 37.4730782)
academy_6874,localroad_436841230,Point (127.0137152 37.5151987)
academy_6878,localroad_3804191167,Point (126.9871497 37.4866112)
academy_6879,localroad_11738027546,Point (127.0094829 37.5074792)
academy_6885,localroad_11641428828,Point (127.0035678 37.5056944)
academy_6888,localroad_3072843633,Point (127.0136813 37.4968278)
academy_6919,localroad_2533109203,Point (126.9897546 37.4939073)
academy_6930,localroad_4185626642,Point (127.0094246 37.5123928)
academy_6936,localroad_12147442531,Point (126.9864003 37.5021971)
academy_6939,localroad_4634856427,Point (127.0254228 37.4710241)
academy_6942,localroad_2244637696,Point (127.0187917 37.515873)
academy_6969,localroad_1925380126,Point (127.0324325 37.4746683)
academy_6974,localroad_8487538014,Point (127.0076217 37.5075597)
academy_6997,localroad_3827548497,Point (127.0141856 37.4968824)
academy_7010,localroad_9006688701,Point (126.9912102 37.4839709)
academy_7011,localroad_3827258688,Point (127.0200072 37.4895498)
academy_7013,localroad_11641428829,Point (127.0048158 37.5060798)
academy_7020,localroad_2280599507,Point (127.0265779 37.4919997)
academy_7023,localroad_4147017218,Point (127.0078686 37.5076354)
academy_7039,localroad_2622874644,Point (126.9894149 37.4952181)
academy_7070,localroad_436801370,Point (127.0307069 37.4737864)
academy_7091,localroad_2622874644,Point (126.9894149 37.4952181)
academy_7106,localroad_4944067989,Point (127.0252056 37.4989723)
academy_7123,localroad_3804191248,Point (126.9846275 37.4908709)
academy_7126,localroad_3112159933,Point (127.0175285 37.498569)
academy_7150,localroad_1962358640,Point (127.0100363 37.5008999)
academy_7151,localroad_1962358596,Point (127.0113085 37.5012701)
academy_7180,localroad_2533109218,Point (126.9874829 37.4958184)
academy_7205,localroad_3827257155,Point (127.0214572 37.4857688)
academy_7221,localroad_2622874644,Point (126.9894149 37.4952181)
academy_7263,localroad_436882871,Point (126.99437 37.48042)
academy_7278,localroad_11738027546,Point (127.0094829 37.5074792)
academy_7281,localroad_4101372794,Point (126.9844478 37.4787688)
academy_7283,localroad_3112174491,Point (127.014187 37.494527)
academy_7298,localroad_1965713733,Point (127.012958 37.4857479)
academy_7299,localroad_3804191161,Point (126.9885131 37.4864449)
academy_7300,localroad_8487538014,Point (127.0076217 37.5075597)
academy_7301,localroad_2280599507,Point (127.0265779 37.4919997)
academy_7319,localroad_2280599507,Point (127.0265779 37.4919997)
academy_7321,localroad_1925498417,Point (127.0397491 37.4719704)
academy_7335,localroad_3719486100,Point (126.9963022 37.4845936)
academy_7348,localroad_4185715633,Point (127.005926 37.482552)
academy_7360,localroad_3827258466,Point (127.0190295 37.4864223)
academy_7361,localroad_3827258466,Point (127.0190295 37.4864223)
academy_7414,localroad_3827548474,Point (127.0130606 37.494181)
academy_7415,localroad_11641428828,Point (127.0035678 37.5056944)
academy_7437,localroad_2368063904,Point (127.0143059 37.4901645)
academy_7489,localroad_4185626654,Point (127.0106412 37.5008873)
academy_7505,localroad_1685716286,Point (126.9839594 37.4793348)
academy_7521,localroad_3030832643,Point (127.008707 37.4914723)
academy_7523,localroad_11641428828,Point (127.0035678 37.5056944)
academy_7533,localroad_3212533179,Point (127.0168075 37.4997004)
academy_7535,localroad_1445606439,Point (127.0016021 37.5057151)
academy_7553,localroad_2477340257,Point (127.0220042 37.5044111)
academy_7559,localroad_5092061478,Point (127.0595492 37.4571518)
academy_7561,localroad_4181527974,Point (127.0190101 37.5146394)
academy_7575,localroad_2533109230,Point (126.9859052 37.4976314)
academy_7580,localroad_3827338064,Point (127.007811 37.4865628)
academy_7594,localroad_5406399785,Point (127.0286561 37.4838688)
academy_7595,localroad_2509978199,Point (126.9921346 37.4900382)
