uuid,name,type,pet_entry_allowed,desserts,operation_hour,take_out_option,address,geometry,rating,pedestrian_entrance_uuid,vehicle_entrance_uuid
cafe_11,라이프브레드 방배본점,베이커리, False,"['소금빵', '메론 소금빵', '올리브빵', '명란 바게트']","[{'day': '월', 'hours': '09:30 - 18:30'}, {'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '정기휴무 (매주 수요일)'}, {'day': '목', 'hours': '09:30 - 18:30'}, {'day': '금', 'hours': '09:30 - 18:30'}, {'day': '토', 'hours': '09:30 - 18:30'}, {'day': '일', 'hours': '09:30 - 18:30'}]",True,서울 서초구 서초대로34길 19 1층,POINT (126.998275 37.4886271),682,pedestrian_4185804588,localroad_4185804588
cafe_12,오우아,"카페,디저트", False,"['단호박케이크', '아인슈페너']","[{'day': '월', 'hours': '11:00 - 22:00'}, {'day': '화', 'hours': '11:00 - 22:00'}, {'day': '수', 'hours': '11:00 - 22:00'}, {'day': '목', 'hours': '11:00 - 22:00'}, {'day': '금', 'hours': '11:00 - 22:00'}, {'day': '토', 'hours': '10:00 - 22:00'}, {'day': '일', 'hours': '10:00 - 21:00'}]",True,서울 서초구 방배천로6길 3-4 1층,POINT (126.9828612 37.479548),999,pedestrian_4185991258,localroad_1685579603
cafe_13,깁미스모어,"카페,디저트", False,['아메리카노'],"[{'day': '월', 'hours': '12:00 - 23:00\n22:30 라스트오더'}, {'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '12:00 - 23:00\n22:30 라스트오더'}, {'day': '목', 'hours': '12:00 - 23:00\n22:30 라스트오더'}, {'day': '금', 'hours': '12:00 - 23:00\n22:30 라스트오더'}, {'day': '토', 'hours': '12:00 - 23:00\n22:30 라스트오더'}, {'day': '일', 'hours': '12:00 - 23:00\n22:30 라스트오더'}]",False,서울 서초구 방배천로8길 31 1층,POINT (126.9844417 37.4805618),999,pedestrian_4101372796,localroad_4101372796
cafe_14,프릳츠 양재점,"카페,디저트", True,"['에스프레소', '아메리카노', '롱블랙', '플랫 화이트']","[{'day': '월', 'hours': '08:00 - 20:30'}, {'day': '화', 'hours': '08:00 - 20:30'}, {'day': '수', 'hours': '08:00 - 20:30'}, {'day': '목', 'hours': '08:00 - 20:30'}, {'day': '금', 'hours': '08:00 - 20:30'}, {'day': '토', 'hours': '10:00 - 20:30'}, {'day': '일', 'hours': '10:00 - 20:30'}]",True,서울 서초구 강남대로37길 24-11,POINT (127.0321951 37.4853687),999,pedestrian_3827169517,localroad_3827169517
cafe_15,베이크샵 피봇,베이커리, False,"['어텀 온 더 피그', '초코 풍덩 번', '두유 크림 시나몬 번', 'Peace 피스 타르트']","[{'day': '월', 'hours': '정기휴무 (매주 월요일)'}, {'day': '화', 'hours': '08:00 - 18:00'}, {'day': '수', 'hours': '08:00 - 18:00'}, {'day': '목', 'hours': '08:00 - 18:00'}, {'day': '금', 'hours': '08:00 - 18:00'}, {'day': '토', 'hours': '08:00 - 18:00'}, {'day': '일', 'hours': '08:00 - 18:00'}]",False,서울 서초구 방배로23길 5 1층,POINT (126.9939179 37.4863645),999,pedestrian_2545067221,localroad_2545067221
cafe_16,메종엠오,베이커리, False,"['밀푀유', '기본 마들렌', '쿠키 선물세트', '마들렌 선물세트']","[{'day': '월', 'hours': '정기휴무 (매주 월요일)'}, {'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '정기휴무 (매주 수요일)'}, {'day': '목', 'hours': '11:30 - 20:00'}, {'day': '금', 'hours': '11:30 - 20:00'}, {'day': '토', 'hours': '11:30 - 20:00'}, {'day': '일', 'hours': '11:30 - 20:00'}]",True,서울 서초구 방배로26길 22 1층 코너,POINT (126.9940932 37.4893124),999,pedestrian_2623456310,localroad_2623456310
cafe_17,태양커피 사당점,카페, False,"['바닐라라떼', '콜드브루', '클래식 아인슈페너', '롱블랙']","[{'day': '월', 'hours': '10:00 - 19:30'}, {'day': '화', 'hours': '10:00 - 19:30'}, {'day': '수', 'hours': '10:00 - 19:30'}, {'day': '목', 'hours': '10:00 - 19:30'}, {'day': '금', 'hours': '10:00 - 19:30'}, {'day': '토', 'hours': '10:00 - 19:30'}, {'day': '일', 'hours': '10:00 - 19:30'}]",True,서울 서초구 방배천로 32 송암빌딩 1층,POINT (126.9826699 37.4794833),999,pedestrian_4185991258,localroad_1685579603
cafe_18,태양커피 방배점,테이크아웃커피, False,"['롱블랙', '카페라떼', '바닐라라떼', '카라멜라떼']","[{'day': '월', 'hours': '10:00 - 19:30'}, {'day': '화', 'hours': '10:00 - 19:30'}, {'day': '수', 'hours': '10:00 - 19:30'}, {'day': '목', 'hours': '10:00 - 19:30'}, {'day': '금', 'hours': '10:00 - 19:30'}, {'day': '토', 'hours': '10:00 - 19:30'}, {'day': '일', 'hours': '10:00 - 19:30'}]",False,서울 서초구 서초대로25길 55 1층,POINT (126.9928262 37.4901937),999,pedestrian_2623456115,localroad_2623456115
cafe_19,헬무트커피로스터스,"카페,디저트", False,"['마피아 밀크', '마피아 워터']","[{'day': '월', 'hours': '11:30 - 22:00\n21:30 라스트오더'}, {'day': '화', 'hours': '11:30 - 22:00\n21:30 라스트오더'}, {'day': '수', 'hours': '11:30 - 22:00\n21:30 라스트오더'}, {'day': '목', 'hours': '11:30 - 22:00\n21:30 라스트오더'}, {'day': '금', 'hours': '11:30 - 22:00\n21:30 라스트오더'}, {'day': '토', 'hours': '11:00 - 22:00\n21:30 라스트오더'}, {'day': '일', 'hours': '11:00 - 22:00\n21:30 라스트오더'}]",True,서울 서초구 방배천로6길 3-10 헬무트커피로스터스,POINT (126.9828679 37.4798905),999,pedestrian_4185991260,localroad_1685579603
cafe_20,잇샌드 서래마을본점,"카페,디저트", False,"['잇샌드전용아메리카노', '카페라떼', '꿀라떼', '달달다방커피']","[{'day': '매일', 'hours': '07:30 - 21:30\n21:00 라스트오더'}]",False,서울 서초구 서래로6길 7 1층,POINT (126.9988525 37.4978858),358,pedestrian_3796948936,localroad_3796948936
cafe_21,리요리요커피,"카페,디저트", True,"['블루로즈', '초이스 크로플', 'Merry HappyBirthday!', '아메리카노(TAKE OUT)']","[{'day': '월', 'hours': '12:00 - 21:00'}, {'day': '화', 'hours': '12:00 - 21:00'}, {'day': '수', 'hours': '12:00 - 22:00'}, {'day': '목', 'hours': '12:00 - 22:00'}, {'day': '금', 'hours': '12:00 - 22:00'}, {'day': '토', 'hours': '12:00 - 22:00'}, {'day': '일', 'hours': '13:00 - 22:00'}]",False,서울 서초구 방배천로18길 11 아르떼상가 B동 104호 리요리요커피,POINT (126.9840969 37.4834782),742,pedestrian_1685716274,localroad_1685716274
cafe_22,토다 베이글 본점,베이글, True,"['베이글', '크림치즈', '감자베이컨 스프', '연어 샐러드']","[{'day': '월', 'hours': '07:30 - 19:00'}, {'day': '화', 'hours': '07:30 - 19:00'}, {'day': '수', 'hours': '07:30 - 19:00'}, {'day': '목', 'hours': '07:30 - 19:00'}, {'day': '금', 'hours': '07:30 - 19:00'}, {'day': '토', 'hours': '09:00 - 19:00'}, {'day': '일', 'hours': '09:00 - 19:00'}]",True,서울 서초구 성촌6길 39,POINT (127.0226353 37.4675303),999,pedestrian_4097245234,localroad_4097245234
cafe_23,MAILLET,"카페,디저트", False,"['딱뜨 따땅', '딱뜨바니', '밀푀유바니', '마카롱']","[{'day': '매일', 'hours': '11:00 - 21:30'}]",True,서울 서초구 사평대로22길 14,POINT (126.9976281 37.4989567),999,pedestrian_3817646123,localroad_3817646123
cafe_24,산도,브런치카페, False,"['가츠산도', '매운가츠산도', '에그산도', '생과일크림산도 (계절과일)']","[{'day': '매일', 'hours': '10:00 - 20:00'}]",True,서울 서초구 서초대로56길 38 1층,POINT (127.0174426 37.4928698),999,pedestrian_3827548459,localroad_3827548459
cafe_25,앨리스토리커피 양재,"카페,디저트", True,"['추천 핸드드립', '앨리라떼', '플레인 요거트스무디', '카페라떼/카푸치노']","[{'day': '월', 'hours': '08:00 - 21:00'}, {'day': '화', 'hours': '08:00 - 21:00'}, {'day': '수', 'hours': '08:00 - 21:00'}, {'day': '목', 'hours': '08:00 - 21:00'}, {'day': '금', 'hours': '08:00 - 21:00'}, {'day': '토', 'hours': '09:00 - 21:00'}, {'day': '일', 'hours': '09:00 - 21:00'}]",True,서울 서초구 강남대로16길 16 앨리스토리커피,POINT (127.0399911 37.4708172),771,pedestrian_4184618623,localroad_4184618623
cafe_26,피노,"카페,디저트", False,"['숲라떼', '수제 바스크치즈케이크', '브라운치즈크로플', '알토 크림 라떼']","[{'day': '월', 'hours': '12:00 - 22:00'}, {'day': '화', 'hours': '12:00 - 22:00'}, {'day': '수', 'hours': '12:00 - 22:00'}, {'day': '목', 'hours': '12:00 - 22:00'}, {'day': '금', 'hours': '12:00 - 22:00'}, {'day': '토', 'hours': '12:00 - 22:00'}, {'day': '일', 'hours': '13:00 - 21:00'}]",True,서울 서초구 사평대로57길 39-1 1층,POINT (127.0226777 37.5059424),793,pedestrian_2477265738,localroad_2477265738
cafe_27,쿠운,"카페,디저트", True,"['수제딸기스모어초콜릿(딕만스초콜릿)', '수제 두바이 초콜릿', '가나슈쿠키샌드 휘낭시에', '두바이 초콜릿 휘낭시에']","[{'day': '월', 'hours': '11:30 - 21:50\n21:45 라스트오더'}, {'day': '화', 'hours': '11:30 - 21:50\n21:45 라스트오더'}, {'day': '수', 'hours': '11:30 - 21:50\n21:45 라스트오더'}, {'day': '목', 'hours': '11:30 - 21:50\n21:45 라스트오더'}, {'day': '금', 'hours': '11:30 - 21:50\n21:45 라스트오더'}, {'day': '토', 'hours': '12:00 - 21:50\n21:45 라스트오더'}, {'day': '일', 'hours': '12:00 - 21:50\n21:45 라스트오더'}]",True,서울 서초구 강남대로83길 18 104호,POINT (127.0223895 37.5063545),629,pedestrian_2477265738,localroad_2477265738
cafe_28,미니말레 커피뢰스터 교대법원점,"카페,디저트", False,"['헬싱키 라떼 (시그니처)', '아메리카노 (밸런스)', '아메리카노 (듄켈)', '라떼']","[{'day': '월', 'hours': '08:00 - 22:00'}, {'day': '화', 'hours': '08:00 - 22:00'}, {'day': '수', 'hours': '08:00 - 22:00'}, {'day': '목', 'hours': '08:00 - 22:00'}, {'day': '금', 'hours': '08:00 - 22:00'}, {'day': '토', 'hours': '09:00 - 19:00'}, {'day': '일', 'hours': '09:00 - 19:00'}]",True,서울 서초구 서초대로51길 15 1층 미니말레 커피뢰스터 교대법원점,POINT (127.0140636 37.4952835),999,pedestrian_3112862148,localroad_3112862148
cafe_29,김영모과자점 신반포점,베이커리, False,"['몽블랑', '바게트샌드위치', '마늘바게트', '소금빵']","[{'day': '월', 'hours': '08:00 - 22:30'}, {'day': '화', 'hours': '08:00 - 22:30'}, {'day': '수', 'hours': '08:00 - 22:30'}, {'day': '목', 'hours': '08:00 - 22:30'}, {'day': '금', 'hours': '08:00 - 22:30'}, {'day': '토', 'hours': '08:00 - 22:30'}, {'day': '일', 'hours': '08:00 - 22:30'}]",False,서울 서초구 신반포로 100 래미안 퍼스티지 신반포역상가,POINT (126.9956953 37.5030941),999,pedestrian_11428504893,localroad_11641428831
cafe_30,캐틀앤비 양재점,"카페,디저트", False,"['브런치: 몬테 크리스토', '브런치: 크로크무슈+아메리카노', '갈릭 쉬림프 오일 파스타', '코리안 로제 프라운 파스타']","[{'day': '매일', 'hours': '09:30 - 23:00\n22:00 라스트오더'}]",True,서울 서초구 양재천로 131 1층 캐틀앤비,POINT (127.0419238 37.4788253),999,pedestrian_4184425796,localroad_4184425796
cafe_31,에크하우스,"카페,디저트", True,"['콜드브루', '카푸치노', '플랫화이트', '하우스 돌체']","[{'day': '월', 'hours': '08:00 - 23:00\n22:30 라스트오더'}, {'day': '화', 'hours': '08:00 - 23:00\n22:30 라스트오더'}, {'day': '수', 'hours': '08:00 - 23:00\n22:30 라스트오더'}, {'day': '목', 'hours': '08:00 - 23:00\n22:30 라스트오더'}, {'day': '금', 'hours': '08:00 - 23:00\n22:30 라스트오더'}, {'day': '토', 'hours': '09:00 - 22:00\n21:30 라스트오더'}, {'day': '일', 'hours': '09:00 - 20:00\n19:30 라스트오더'}]",True,서울 서초구 강남대로8길 15-1 1층,POINT (127.0417329 37.4681012),792,pedestrian_4184585521,localroad_4309955650
cafe_32,오뗄두스 서래점,베이커리, False,"['밀푀유', '골드키위잼', '우유푸딩', '하루치즈케이크']","[{'day': '월', 'hours': '10:30 - 20:00'}, {'day': '화', 'hours': '10:00 - 21:00'}, {'day': '수', 'hours': '10:00 - 21:00'}, {'day': '목', 'hours': '10:00 - 21:00'}, {'day': '금', 'hours': '10:00 - 21:00'}, {'day': '토', 'hours': '10:00 - 21:00'}, {'day': '일', 'hours': '10:00 - 20:00'}]",True,서울 서초구 서래로10길 9 서래빌딩,POINT (126.9988757 37.4995349),798,pedestrian_2628399840,localroad_2628399840
cafe_33,소울브레드,베이커리, False,"['우리통밀100% 사워도우', '쇼콜라 사워도우', '올리브 치아바타', '우리호밀 100% 사워도우']","[{'day': '월', 'hours': '정기휴무 (매주 월요일)'}, {'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '12:00 - 20:00'}, {'day': '목', 'hours': '12:00 - 20:00'}, {'day': '금', 'hours': '12:00 - 20:00'}, {'day': '토', 'hours': '12:00 - 18:00'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}]",True,서울 서초구 바우뫼로7길 27 동양고속아파트 동양상가 201호,POINT (127.0243841 37.4712751),999,pedestrian_4634856417,localroad_4634856417
cafe_34,스타벅스 서울웨이브아트센터점,카페, False,"['토피 넛 라떼', '스타벅스 딸기 라떼', '골든 캐모마일 릴렉서', '산타 베어리스타 케이크']","[{'day': '월(11/11)', 'hours': '08:30 - 22:00'}, {'day': '화(11/12)', 'hours': '08:30 - 22:00'}, {'day': '수(11/13)', 'hours': '08:30 - 22:00'}, {'day': '목(11/14)', 'hours': '08:30 - 22:00'}, {'day': '금(11/15)', 'hours': '08:30 - 22:00'}, {'day': '토(11/16)', 'hours': '07:30 - 22:00'}, {'day': '일(11/17)', 'hours': '07:30 - 21:30'}]",False,서울 서초구 잠원로 145-35 (잠원동),POINT (127.0072778 37.5183836),999,pedestrian_6552166586,localroad_2861410667
cafe_35,거북이,"카페,디저트", True,"['피스타치오라즈베리', '망고빙수(시즌)', '팥빙수(시즌)', '딸기쇼트(시즌)']","[{'day': '매일', 'hours': '12:00 - 22:00'}]",True,서울 서초구 방배천로4안길 48 1층,POINT (126.9834177 37.4802015),999,pedestrian_4185991257,localroad_4101372588
cafe_36,던킨 양재사옥점,도넛, False,"['던캔 아이스아메리카노 4개 SET', '해피 먼치킨컵 (10개)', '허니딸기라떼', '해피 먼치킨컵 (10개)']","[{'day': '월', 'hours': '07:00 - 20:00'}, {'day': '화', 'hours': '07:00 - 20:00'}, {'day': '수', 'hours': '07:00 - 20:00'}, {'day': '목', 'hours': '07:00 - 20:00'}, {'day': '금', 'hours': '07:00 - 20:00'}, {'day': '토', 'hours': '정기휴무 (매주 토요일)'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}]",True,"서울 서초구 남부순환로 2620 (양재동 11-149,강남피타워) 지하1층",POINT (127.0372961 37.4843832),908,pedestrian_4184399723,localroad_4184399723
cafe_37,컨트리보이,베이커리, False,"['저온숙성식빵', '크랜베리호두푸가스', '카카오피칸바게트', '무화과사워도우(Whole)']","[{'day': '월', 'hours': '정기휴무 (매주 월요일)'}, {'day': '화', 'hours': '정기휴무 (매주 화요일)'}, {'day': '수', 'hours': '11:00 - 19:00'}, {'day': '목', 'hours': '11:00 - 19:00'}, {'day': '금', 'hours': '11:00 - 19:00'}, {'day': '토', 'hours': '11:00 - 19:00'}, {'day': '일', 'hours': '11:00 - 19:00'}]",True,서울 서초구 방배로27길 53 1층,POINT (126.989452 37.4888403),438,pedestrian_2511543181,localroad_2511535104
cafe_38,밀갸또 교대점,케이크전문, False,['밀푀유'],"[{'day': '월', 'hours': '정기휴무 (매주 월요일)'}, {'day': '화', 'hours': '11:00 - 19:00'}, {'day': '수', 'hours': '11:00 - 19:00'}, {'day': '목', 'hours': '11:00 - 19:00'}, {'day': '금', 'hours': '11:00 - 19:00'}, {'day': '토', 'hours': '11:00 - 19:00'}, {'day': '일', 'hours': '11:00 - 19:00'}]",True,서울 서초구 서초대로58길 37,POINT (127.0181411 37.4930739),832,pedestrian_3827548460,localroad_3827548460
cafe_39,앙띠크,"카페,디저트", False,"['바니벨루떼', '벨벳 브라운', '아메리카노', '카페라떼']","[{'day': '월', 'hours': '10:30 - 21:00'}, {'day': '화', 'hours': '10:30 - 21:00'}, {'day': '수', 'hours': '10:30 - 21:00'}, {'day': '목', 'hours': '10:30 - 21:00'}, {'day': '금', 'hours': '10:30 - 21:00'}, {'day': '토', 'hours': '10:30 - 21:00'}, {'day': '일', 'hours': '11:00 - 21:00'}]",True,서울 서초구 서초중앙로20길 14 1층 앙띠크,POINT (127.014862 37.4921816),999,pedestrian_3827548039,localroad_3827548039
cafe_40,좋은아침페스츄리 양재점,베이커리, False,"['오리지널 크로와상', '앙버터 크로와상', '햄치즈 크로와상']","[{'day': '월', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '화', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '수', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '목', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '금', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '토', 'hours': '08:00 - 21:00\n20:30 라스트오더'}, {'day': '일', 'hours': '정기휴무 (매주 일요일)'}]",True,서울 서초구 바우뫼로37길 18 제이프러스빌딩,POINT (127.039663 37.4796719),999,pedestrian_1694782517,localroad_1694782517
cafe_41,카페 이로,"카페,디저트", False,"['해치의 신수림 [하]', '해치의 신수림 [추]', '해치의 신수림 [동]', '해치크림라떼']","[{'day': '월', 'hours': '11:00 - 20:30'}, {'day': '화', 'hours': '11:00 - 20:30'}, {'day': '수', 'hours': '11:00 - 20:30'}, {'day': '목', 'hours': '11:00 - 20:30'}, {'day': '금', 'hours': '11:00 - 20:30'}, {'day': '토', 'hours': '11:00 - 21:30'}, {'day': '일', 'hours': '11:00 - 21:30'}]",True,"서울 서초구 반포대로30길 32 1층, 지하1층",POINT (127.0103318 37.4918464),598,pedestrian_3030832644,localroad_3030832644
cafe_42,카페드리옹 서래본점,카페, True,"['바닐라 밀푀유(피스(Piece))', 'LYON 잉글리쉬 브랙퍼스트 밀크티(300ml)', '샹티 오 베리(홀(Whole))', '샹티 오 베리([전화예약가능])']","[{'day': '매일', 'hours': '09:00 - 23:00\n22:50 라스트오더'}]",True,서울 서초구 서래로7길 18 1층 카페드리옹,POINT (126.9973359 37.498819),999,pedestrian_2622810033,localroad_2622809999
cafe_43,행복빵집,베이커리, False,"['행복찹쌀떡(낱개)', '200빵', '행복통팥빵', '소금빵']","[{'day': '월', 'hours': '08:00 - 22:00'}, {'day': '화', 'hours': '08:00 - 22:00'}, {'day': '수', 'hours': '08:00 - 22:00'}, {'day': '목', 'hours': '08:00 - 22:00'}, {'day': '금', 'hours': '08:00 - 22:00'}, {'day': '토', 'hours': '08:00 - 22:00'}, {'day': '일', 'hours': '08:00 - 22:00'}]",True,서울 서초구 방배로 248 서래빌딩 1층,POINT (126.9893221 37.4951285),999,pedestrian_2622874644,localroad_2622874644
cafe_44,카페모호,"카페,디저트", False,"['아메리카노', '일랑일랑', '모호 라떼', '모호크림']","[{'day': '월', 'hours': '08:00 - 17:00'}, {'day': '화', 'hours': '08:00 - 17:00'}, {'day': '수', 'hours': '08:00 - 17:00'}, {'day': '목', 'hours': '08:00 - 17:00'}, {'day': '금', 'hours': '08:00 - 17:00'}, {'day': '토', 'hours': '08:00 - 19:00'}, {'day': '일', 'hours': '08:00 - 19:00'}]",True,서울 서초구 양재천로7길 1 1층,POINT (127.0360687 37.4742994),706,pedestrian_1858938775,localroad_1858938775
cafe_45,비파티세리 센트럴시티점,베이커리, False,"['퀸아망 베리 크림치즈', '퀸아망 클래식', '조청 피칸파이', '퀸아망 흑임자']","[{'day': '매일', 'hours': '08:00 - 21:30\n21:00 라스트오더'}]",True,서울 서초구 신반포로 176 신세계 센트럴시티 1층 116호,POINT (127.0032242 37.5042121),999,pedestrian_9787414078,localroad_4738140914
cafe_46,밀도 강남역점,베이커리, False,"['담백식빵', '리치식빵', '허니러스크', '초코허니러스크']","[{'day': '월', 'hours': '11:00 - 22:00'}, {'day': '화', 'hours': '11:00 - 22:00'}, {'day': '수', 'hours': '11:00 - 22:00'}, {'day': '목', 'hours': '11:00 - 22:00'}, {'day': '금', 'hours': '11:00 - 22:00'}, {'day': '토', 'hours': '11:00 - 22:00'}, {'day': '일', 'hours': '11:00 - 22:00'}]",True,서울 서초구 강남대로 419 무인양품 1층 내 밀도,POINT (127.0262296 37.4998086),404,pedestrian_4946614556,localroad_2280678683
