uuid,name,slope,parking_area,number_of_households,area,construction_year,green_space_area,rating,common_area_cleaning_frequancy,garbage_recycling_frequency,concierge_service,average_price_per_pyeong,pop,pop_ratio,pop_increase,taxi,income,income_increase,floating_pop,reconstructiondistrcit,pedestrian_entrance_uuid,vehicle_entrance_uuid,geometry
apartment_1165010821,동원베네스트,2.117540359,164,126,8456.2,2002,19.30160862,80,매주,매주,1,17313817.06,630,"[0.437209304, 4.323521305, 10.68599464, 17.75953785, 23.66875984, 21.50255368, 14.63000282, 6.99242056]",10,4.7,6355.1,20.79,341,0,pedestrian_3827169486,localroad_3827169486,"MultiPolygon (((127.0262124 37.48546383, 127.02626208 37.48544787, 127.02626368 37.48545106, 127.02630375 37.48543892, 127.02629733 37.48542742, 127.02630694 37.48542423, 127.02631818 37.48544658, 127.02634782 37.48543827, 127.02635343 37.48545232, 127.02638629 37.48544209, 127.02637346 37.48541592, 127.02640872 37.48540634, 127.02640711 37.48540315, 127.02652812 37.48536865, 127.0265233 37.48535907, 127.02655456 37.48534949, 127.02654654 37.48533225, 127.02655455 37.4853297, 127.02656577 37.48535332, 127.02659463 37.48534374, 127.02660024 37.48535651, 127.0266339 37.48534756, 127.02662427 37.48532841, 127.02665151 37.4853201, 127.02665632 37.48532968, 127.02673089 37.48530807, 127.02667664 37.48519268, 127.0266297 37.48520752, 127.02662888 37.48520429, 127.02657224 37.48522042, 127.02657629 37.4852288, 127.02650265 37.48525074, 127.02649941 37.48524171, 127.02644519 37.48525913, 127.02644762 37.48526171, 127.02639988 37.48527591, 127.0264096 37.48529524, 127.02636914 37.48530879, 127.02636671 37.48530621, 127.02631734 37.48531976, 127.0263222 37.48532814, 127.02626474 37.48534492, 127.02626044 37.48533742, 127.02621156 37.48535212, 127.02621397 37.48535467, 127.02618271 37.48536297, 127.02617871 37.48536872, 127.02617871 37.48537191, 127.02618112 37.4853751, 127.0261715 37.4853783, 127.0262124 37.48546383)))"
apartment_1165010725,디에이치라클라스,2.924267054,1526,848,23767.72,2021,17.699646,67,매주,매주,1,28363280.23,1696,"[1.208785052, 10.23931369, 9.711051359, 15.3304602, 25.60593977, 18.15066534, 12.21743758, 7.536347]",8,3.7,9389.84,15.4,469,0,pedestrian_3112158621,localroad_3112158621,"MultiPolygon (((127.01585172 37.50149134, 127.01341063 37.4996403, 127.01251341 37.49951046, 127.01235109 37.50022467, 127.01397104 37.50113995, 127.01499019 37.50191811, 127.01585172 37.50149134)))"
apartment_1165010857,래미안리더스원,0.313110322,2515,1317,9439.63,2020,18.10738723,79,매주,매주,1,70429472.8,2634,"[2.319806315, 8.190674077, 19.61739537, 22.42225567, 22.30266825, 13.86976217, 8.360624436, 2.916813715]",-10,3.8,7476.47,14.25,665,0,pedestrian_9607825959,localroad_3825549659,"MultiPolygon (((127.02738092 37.49214677, 127.02821812 37.49240052, 127.02826705 37.49238302, 127.0285812 37.49172473, 127.029796 37.48917911, 127.02977453 37.48913903, 127.02894766 37.48888499, 127.02879674 37.4888695, 127.02869106 37.48883708, 127.02849905 37.48923695, 127.02808315 37.48910925, 127.02807012 37.4891245, 127.02768043 37.48994071, 127.0276635 37.49005321, 127.02760032 37.49018216, 127.0275189 37.4902785, 127.0269189 37.49153454, 127.02757357 37.49174379, 127.02738092 37.49214677)))"
apartment_1165010801,래미안서초스위트,0.429413766,502,392,2060.56,2009,18.16967076,45,매주,매주,1,60428558.16,1960,"[0.396347447, 4.219429375, 11.89872281, 19.03632723, 25.27434794, 20.08023208, 13.50064337, 5.593949736]",24,4.9,7700.74,11.78,380,0,pedestrian_12061668081,localroad_1430655026,"MultiPolygon (((127.0207779 37.50187602, 127.01974195 37.50156132, 127.01944018 37.50238124, 127.02123373 37.50292276, 127.02157832 37.50220171, 127.02074178 37.50195199, 127.0207779 37.50187602)))"
apartment_1165010810,래미안서초에스티지,0.317878207,619,421,3062.45,2016,19.65960334,76,매주,매주,1,66333484.16,1263,"[0.676383163, 6.591299251, 11.06933778, 18.04299382, 25.14871447, 18.89145568, 13.13641445, 6.443401397]",1,2.6,7005.44,11.63,611,0,pedestrian_9623456682,localroad_3825549665,"MultiPolygon (((127.02426975 37.49303181, 127.02567547 37.49345105, 127.02579835 37.49327545, 127.02588643 37.49311095, 127.02598375 37.49281523, 127.02611356 37.49255832, 127.02468929 37.49213353, 127.02426975 37.49303181)))"
apartment_1165010855,래미안서초에스티지S,0.232698997,854,593,108556.49,2018,18.61459089,62,매주,매주,1,67629427.07,2372,"[0.489336751, 5.532478105, 14.66037265, 20.53643519, 23.54973109, 17.45135183, 11.92422835, 5.856066029]",9,4.9,8725.39,25.81,577,0,pedestrian_9607825617,localroad_3800522736,"MultiPolygon (((127.02603861 37.49361732, 127.02740944 37.49403568, 127.02809754 37.49261834, 127.02723915 37.49232989, 127.0269978 37.4927772, 127.02648537 37.49259269, 127.02600269 37.49355492, 127.02603861 37.49361732)))"
apartment_1165010828,래미안서초유니빌,1.732501388,361,440,2459,2003,18.78964806,28,매주,매주,1,21061080.59,880,"[0.138540899, 3.615184373, 14.49181254, 17.871575, 21.03988937, 19.2891022, 15.12321871, 8.430676913]",-25,2.6,5667.7,12.17,779,0,pedestrian_2655442257,localroad_2655442257,"MultiPolygon (((127.01711499 37.48497512, 127.01712822 37.48493456, 127.01714928 37.48489884, 127.01712391 37.48488891, 127.01713446 37.48487253, 127.01711381 37.48486394, 127.01720036 37.48472738, 127.01719201 37.48472357, 127.01723881 37.48465014, 127.01719686 37.48463355, 127.01722195 37.48459181, 127.01723169 37.48459577, 127.01729248 37.48449812, 127.01711093 37.48442523, 127.01710617 37.4844335, 127.01706279 37.48441546, 127.01706546 37.48441112, 127.01696661 37.48437156, 127.01694173 37.48441256, 127.01694731 37.48441476, 127.01694384 37.48442076, 127.01693798 37.48441878, 127.01689995 37.48448077, 127.01690448 37.48448323, 127.01690186 37.48448862, 127.01689592 37.48448602, 127.01685804 37.48454848, 127.01686305 37.48455109, 127.01685877 37.48455685, 127.01685356 37.48455506, 127.01681539 37.48461697, 127.01682004 37.48461918, 127.0168171 37.48462372, 127.01681242 37.48462195, 127.01677351 37.48468273, 127.01677909 37.48468567, 127.0167754 37.48469175, 127.01676881 37.48468937, 127.01672375 37.48476208, 127.01670728 37.48477624, 127.01669644 37.48478909, 127.01668699 37.48480857, 127.0166844 37.48482415, 127.01668488 37.48483761, 127.01668943 37.48485369, 127.01669607 37.48486777, 127.01670628 37.48488282, 127.01672436 37.48489727, 127.01674626 37.48490731, 127.01677058 37.48491309, 127.01679044 37.48491479, 127.01681424 37.4849133, 127.01683293 37.48490752, 127.01685068 37.48489952, 127.01686519 37.48489094, 127.01688986 37.48490067, 127.01688109 37.48491491, 127.01695309 37.48494406, 127.01696064 37.48493386, 127.01700267 37.48495056, 127.01700707 37.48494455, 127.01705459 37.48496372, 127.01706138 37.48495432, 127.01711499 37.48497512)))"
apartment_1165010647,래미안신반포리오센트,0.324815929,860,475,4184.41,2019,18.70791287,84,매주,매주,1,66407495.14,2375,"[0.355976575, 5.296746584, 10.24593146, 16.4777287, 24.31662809, 22.5080174, 14.92566808, 5.873303102]",-7,2.7,8009.85,16.45,410,0,pedestrian_8488873811,localroad_4185626617,"MultiPolygon (((127.01309775 37.51917972, 127.01397176 37.5196395, 127.0142463 37.51928066, 127.01411641 37.51856537, 127.01477615 37.51839012, 127.01449197 37.51755618, 127.01335688 37.51778539, 127.01306413 37.5191066, 127.01309775 37.51917972)))"
apartment_1165010602,래미안신반포팰리스,0.189782098,1307,843,5879.84,2016,19.40071275,37,매주,매주,1,68222957.68,4215,"[3.527581094, 8.893031762, 13.09978791, 19.43225435, 23.52120549, 17.26108781, 10.66957939, 3.595472205]",5,4.5,8429.13,17.84,445,0,pedestrian_8488915381,localroad_436841230,"MultiPolygon (((127.01150748 37.51550902, 127.01175426 37.51536936, 127.01230196 37.51593015, 127.01344972 37.51519748, 127.01320243 37.51395022, 127.01273696 37.51374107, 127.01256231 37.51364545, 127.01214074 37.51393074, 127.01230029 37.51410272, 127.0109205 37.51498486, 127.01150748 37.51550902)))"
apartment_1165010709,래미안퍼스티지,0.708751678,4350,2444,16981.06,2009,16.66731644,39,매주,매주,1,77700433.51,9776,"[0.174772534, 4.757803612, 10.96517351, 16.68548817, 23.82171278, 22.80907783, 15.14324677, 5.642724793]",-4,2.9,16138.3,27.46,546,0,pedestrian_4142921223,localroad_12208571847,"MultiPolygon (((126.99506006 37.50298246, 126.99512356 37.50280041, 126.99515204 37.50280858, 126.99545252 37.50200077, 126.99543484 37.50197104, 126.99535848 37.50195594, 126.99493958 37.50179915, 126.99465395 37.50165249, 126.99453334 37.50193566, 126.99417782 37.50271439, 126.99506006 37.50298246)),((127.00012306 37.50448778, 127.00026549 37.50418194, 127.00078561 37.50433487, 127.00116331 37.50383171, 127.00151006 37.50400436, 127.00259982 37.50253433, 126.99938786 37.50126099, 126.998716 37.50272854, 126.99748462 37.50238289, 126.99763943 37.50203141, 126.99727059 37.50191835, 126.99706151 37.5024015, 126.99589266 37.50206157, 126.99574195 37.50203177, 126.99574112 37.50203342, 126.99572026 37.50207484, 126.99563392 37.50230812, 126.99546268 37.50277081, 126.99542015 37.50288545, 126.9954854 37.50290415, 126.99601789 37.50304723, 126.99593738 37.50324455, 126.9959925 37.50320543, 126.99641905 37.50332296, 126.99710472 37.50352625, 126.99712864 37.5035866, 127.00012306 37.50448778)))"
apartment_1165010609,롯데캐슬갤럭시1차,1.076655865,468,256,2371,2002,19.49020473,83,매주,매주,1,45872171.14,768,"[1.659970252, 6.051388675, 14.40534795, 20.64386983, 25.20036026, 19.06362955, 10.38773149, 2.587702]",33,3.8,8409.16,17.64,454,0,pedestrian_8727059732,localroad_595776293,"MultiPolygon (((127.01736914 37.52021676, 127.01708338 37.51960377, 127.01558197 37.51995479, 127.01581479 37.52059907, 127.01590345 37.52064319, 127.0160115 37.52067407, 127.01618049 37.52068508, 127.01638271 37.52065857, 127.01669297 37.52056587, 127.01688613 37.52052079, 127.01699688 37.52048272, 127.01712015 37.52041719, 127.01723687 37.52034238, 127.01736914 37.52021676)))"
apartment_1165010610,롯데캐슬갤럭시2차,1.576194167,852,428,2371,2004,19.24188572,92,매주,매주,1,45872171.14,1284,"[1.722284764, 6.499289555, 14.83796974, 20.72661734, 25.11981346, 18.56965146, 10.167974, 2.356399681]",15,4.9,8231.43,25.8,536,0,pedestrian_436841231,localroad_8489298912,"MultiPolygon (((127.01696273 37.51963012, 127.01618326 37.51811779, 127.01500252 37.5183775, 127.01531642 37.51923845, 127.01557705 37.51995329, 127.01696273 37.51963012)))"
apartment_1165010822,롯데캐슬주피터,1.361078024,288,110,1735,2003,20.0797526,3,매주,매주,1,51238851.03,330,"[1.668658468, 6.640079181, 15.72501903, 21.0902935, 24.21749312, 16.929804, 10.22249425, 3.506158444]",7,4.2,8199.55,29.66,323,0,pedestrian_8496227306,localroad_3827170279,"MultiPolygon (((127.03076723 37.48639811, 127.03034774 37.48627409, 127.02998271 37.48702966, 127.03000137 37.48706254, 127.03039433 37.48718173, 127.03076723 37.48639811)))"
apartment_1165010803,롯데캐슬클래식,0.256498496,1436,990,6878.18,2006,18.30564837,36,매주,매주,1,50232287.36,4950,"[2.558552764, 8.425281745, 15.68945692, 22.7810336, 24.41204302, 15.36693374, 8.707373842, 2.059324367]",6,3.4,9183.09,23.33,563,0,pedestrian_8495282613,localroad_9625998659,"MultiPolygon (((127.02167325 37.49939442, 127.0206715 37.4990862, 127.02020936 37.50034252, 127.02215423 37.50092931, 127.02270941 37.49976305, 127.02268735 37.49971388, 127.02210534 37.49953484, 127.02167325 37.49939442)))"
apartment_1165010834,마제스타시티힐스테이트서리풀,2.927004814,150,116,45810,2017,20.99104987,18,매주,매주,1,62077591.96,580,"[0.180260678, 4.417850317, 17.89483484, 18.64620671, 20.74959959, 18.35628635, 13.27807801, 6.476883513]",34,4.9,5632.07,6.77,503,0,pedestrian_3827338133,localroad_3827338133,"MultiPolygon (((127.00632314 37.49047875, 127.00639266 37.49042863, 127.00654493 37.49005401, 127.00560136 37.48993269, 127.00532325 37.48979816, 127.00490278 37.4896821, 127.00483656 37.48972958, 127.00496902 37.49028622, 127.00537296 37.49081119, 127.00632314 37.49047875)))"
apartment_1165010806,밀라텔쉐르빌(엠쉐르빌),1.357590437,128,125,6175.7,2001,19.65498744,0,매주,매주,1,24310177.37,500,"[0.104227308, 3.591107652, 20.75919539, 20.93923169, 20.82636282, 17.32153286, 11.95966415, 4.49867814]",56,3.7,4458.61,12.58,564,0,pedestrian_12061673699,localroad_4944067989,"MultiPolygon (((127.02522524 37.49863024, 127.02494664 37.49854551, 127.0248592 37.49872822, 127.02513687 37.49881185, 127.02522524 37.49863024)))"
apartment_1165010706,반포래미안아이파크,1.692213535,1326,829,5650.98,2018,18.03583984,100,매주,매주,1,77122656.39,4145,"[5.261393494, 8.786521017, 11.5198245, 22.12147322, 24.24105611, 14.86950684, 10.0365996, 3.163625209]",-6,4.6,9389.84,15.4,540,0,pedestrian_5900870032,localroad_436864995,"MultiPolygon (((127.01208727 37.50146432, 127.01263716 37.50174726, 127.01235013 37.50213496, 127.0130071 37.50260785, 127.01388781 37.50242943, 127.01442302 37.50217739, 127.01490957 37.50193311, 127.01407455 37.50134008, 127.01237937 37.50027857, 127.01208727 37.50146432)))"
apartment_1165010714,반포리체,0.479663312,1679,1119,5650.98,2011,18.15729777,50,매주,매주,1,74973449.85,2238,"[0.59567058, 6.688090196, 13.67699297, 18.44567432, 23.79584778, 18.20689016, 12.53658571, 6.054248287]",12,4.4,9015.78,6.13,436,0,pedestrian_4899658331,localroad_4899542143,"MultiPolygon (((127.01200667 37.50469256, 127.01207984 37.50469903, 127.01220176 37.50469254, 127.01238872 37.50467958, 127.01250253 37.50468604, 127.0126651 37.50467307, 127.01280328 37.50466658, 127.01289271 37.50465363, 127.01295773 37.50464714, 127.01305528 37.50464065, 127.01313656 37.5046277, 127.01322597 37.50461473, 127.013291 37.50460826, 127.01333978 37.5045953, 127.01341293 37.50458234, 127.01351048 37.50456937, 127.01359989 37.50454994, 127.01364865 37.50454346, 127.0136893 37.50453051, 127.01384374 37.50450459, 127.0140307 37.50446571, 127.01416075 37.50442684, 127.01436395 37.50436853, 127.01437208 37.50431673, 127.01452651 37.5042649, 127.01459154 37.50426489, 127.01470533 37.50419365, 127.01514426 37.50407055, 127.01522554 37.50404464, 127.01529057 37.5040252, 127.01418483 37.50263948, 127.01412794 37.50265891, 127.01406292 37.50268483, 127.01377842 37.50274314, 127.01368088 37.50276258, 127.01290869 37.50289865, 127.01256731 37.50295696, 127.01254292 37.50298934, 127.01240478 37.50324839, 127.01231538 37.50340382, 127.01209596 37.5037924, 127.01186029 37.50423926, 127.01162462 37.50467964, 127.01167339 37.50467964, 127.0117628 37.50468611, 127.01186848 37.50469905, 127.01200667 37.50469256)))"
apartment_1165010717,반포미도1차,3.058573723,1348,1260,701.74,1987,19.10012207,62,매주,매주,1,60803829.25,2520,"[4.886378501, 8.20376464, 11.4222644, 21.85465043, 25.17160175, 15.55520045, 10.15283, 2.753309831]",8,3.5,6654.99,15.35,396,0,pedestrian_8489298972,localroad_1962358614,"MultiPolygon (((127.00886215 37.5037395, 127.00917861 37.50319082, 127.00920875 37.50319979, 127.00926004 37.50322812, 127.00929464 37.50322559, 127.0093738 37.50316288, 127.0094567 37.50312728, 127.00947874 37.50307079, 127.00948089 37.5030224, 127.00947919 37.50299582, 127.0095087 37.5029187, 127.00955275 37.50288861, 127.00958061 37.50287844, 127.0096292 37.50287116, 127.00967279 37.50287138, 127.00967991 37.50284823, 127.0099864 37.50292659, 127.01002169 37.50291758, 127.01007223 37.50282676, 127.01007381 37.50280407, 127.01009258 37.50254296, 127.01006413 37.50247019, 127.01005393 37.50214029, 127.01007961 37.5020307, 127.01005314 37.50197813, 127.00992004 37.50185691, 127.00984239 37.50178481, 127.00980871 37.50174896, 127.00965864 37.50138039, 127.0093482 37.50119729, 127.00925244 37.5011502, 127.00925553 37.50105341, 127.00926482 37.50094954, 127.00930201 37.50082698, 127.00937528 37.50065814, 127.00934538 37.50061046, 127.00927972 37.50058741, 127.00930323 37.5004338, 127.00941035 37.50012373, 127.00941018 37.50001574, 127.00936276 37.49992729, 127.00940142 37.49985113, 127.0094344 37.49963608, 127.00940304 37.49953805, 127.00938709 37.49940614, 127.00949862 37.49924904, 127.00952287 37.49902719, 127.00948069 37.49895829, 127.00924565 37.49883064, 127.00921585 37.49881448, 127.00923888 37.49868917, 127.00901058 37.49866299, 127.00883184 37.49867108, 127.00873841 37.49883928, 127.00874453 37.49908832, 127.00876243 37.49954915, 127.00860199 37.4998257, 127.00858777 37.49982084, 127.00847402 37.49992111, 127.00811387 37.50019748, 127.00789857 37.50047403, 127.00778823 37.50044106, 127.00773847 37.50048818, 127.00773364 37.50050074, 127.00771485 37.50056053, 127.00770501 37.50057513, 127.00765197 37.50063712, 127.0075683 37.50075209, 127.00749887 37.50083102, 127.00747229 37.50088797, 127.00745884 37.50097194, 127.00746634 37.50101792, 127.00747536 37.50107321, 127.00747507 37.50109257, 127.00747479 37.50111024, 127.00747474 37.50111321, 127.00747627 37.5011393"
apartment_1165010718,반포미도2차,2.737011194,435,435,701.74,1989,18.42423164,95,매주,매주,1,60803829.25,1740,"[2.296256884, 7.514381619, 14.86153006, 20.40323963, 23.65954829, 17.12542335, 10.9119202, 3.227699965]",-22,4.8,5147.72,7.36,611,0,pedestrian_3132821629,localroad_3132812737,"MultiPolygon (((127.00785175 37.503345, 127.00819562 37.50268387, 127.00829311 37.50253508, 127.00832358 37.50249304, 127.00833373 37.5024332, 127.00802495 37.50231516, 127.007899 37.50217448, 127.00781852 37.50209842, 127.00795931 37.50183534, 127.00753476 37.50135375, 127.00747325 37.50130077, 127.00730857 37.50114289, 127.00714347 37.50108873, 127.0069687 37.5015878, 127.00725036 37.50187793, 127.00704159 37.50226094, 127.00706101 37.5023035, 127.00671143 37.50295345, 127.00688625 37.50296117, 127.00738643 37.50323969, 127.00769236 37.5032745, 127.00769493 37.50333714, 127.00771162 37.50336, 127.00774012 37.50338972, 127.0077663 37.50340677, 127.00789766 37.50345671, 127.00882218 37.50380812, 127.00886087 37.50374081, 127.00784537 37.50335725, 127.00785175 37.503345)))"
apartment_1165010648,반포센트럴자이,0.177387998,1196,757,5104.34,2020,17.83538993,61,매주,매주,1,84390600.57,2271,"[1.497325663, 8.445908474, 17.65809612, 20.72186579, 23.30759496, 16.92612356, 9.131072507, 2.312012933]",47,4.8,8597.06,19.83,432,1,pedestrian_5886932112,localroad_7835130058,"MultiPolygon (((127.00163569 37.50871441, 127.00275708 37.5062893, 127.00240517 37.50616773, 127.00243569 37.50610908, 127.00167084 37.50586593, 127.00163269 37.50588592, 127.00062573 37.50800878, 127.00116737 37.5081828, 127.00163569 37.50871441)))"
