addr,name,lat,lon,sectors,constructor,completion,households,heating,heating_resource,max_floor,min_floor,parking_per_house,parking_lot,community,min_area_supply,max_area_supply,min_area_use,max_area_use,addr_street,apartment_status,slope,taxi_dropoff_ratio,taxi_dropoff_ratio_morning_peak,average_income_year,floor_area_ratio,parking_lot_under,slope_ratio,pop,pop_density_10s,pop_ratio_50s,pop_ratio_60s_man,uuid
서울시 서초구 반포동 60-4,반포미도1차,37.502254,127.008811,8동,한보그룹,1987,1260,지역난방,열병합,15층,15층,1.07,1,0,110.46,110.46,84.96,84.96,서울시 서초구 서초중앙로29길 28,아파트,1,38.89,10,13619,700,1,9,396,0.176767677,0.138888889,0.060606061,apartment_1165010717
서울시 서초구 우면동 773,서초힐스,37.45746,127.018151,12동,(주)서희건설,2012,1082,개별난방,도시가스,25층,12층,1.17,0,1,81.96,116.29,59.89,84.98,서울시 서초구 양재대로2길 90,아파트,1,50,50,13433,200,0,4,583,0.140651801,0.238421955,0.037735849,apartment_1165010312
서울시 서초구 서초동 1682,서초래미안,37.498528,127.019039,13동,삼성물산,2003,1129,개별난방,열병합,27층,10층,1.61,1,0,112.73,167.09,84.95,127.66,서울시 서초구 서초대로65길 13-10,아파트,1,42.86,28.57,9900,900,0,7,441,0.213151927,0.19047619,0.038548753,apartment_1165010849
서울시 서초구 내곡동 411,서초더샵포레,37.452674,127.063435,26동,(주)포스코건설,2014,1264,개별난방,도시가스,20층,2층,1.39,0,0,80.7,153.1,59.69,114.71,서울시 서초구 헌릉로8길 58,아파트,0,50,50,11823,100,1,7,690,0.097101449,0.120289855,0.043478261,apartment_1165010901
서울시 서초구 내곡동 384,서초포레스타2단지,37.455377,127.06122,13동,"고려개발(주),동원건설산업(주)",2015,1077,개별난방,도시가스,21층,11층,1.1,1,1,87.56,124.35,59.09,84.87,서울시 서초구 헌릉로8길 45,아파트,1,50,50,15336,100,0,3,604,0.069536424,0.130794702,0.067880795,apartment_1165010902
서울시 서초구 우면동 717,서초네이처힐3단지,37.464722,127.027902,17동,진흥기업(주),2013,1251,개별난방,도시가스,19층,12층,1.13,0,1,112.06,151.95,84.61,114.79,서울시 서초구 태봉로2길 60,아파트,1,50,33.33,9064,100,0,2,409,0.183374083,0.105134474,0.029339853,apartment_1165010307
서울시 서초구 반포동 1-1번지 일원,래미안원베일리,37.5068,126.998185,23동,삼성물산㈜,2023,2990,지역난방,열병합,35층,11층,1.82,0,1,62.68,315.31,46.93,234.96,서울시 서초구 반포동 1-1번지 일원,아파트분양권,1,50,50,20090,1100,0,7,20,0.25,0,0,apartment_1165010726
서울시 서초구 반포동 1341,반포래미안아이파크,37.501879,127.013411,11동,"에이치디씨현대산업개발(주),삼성물산(주)",2018,829,지역난방,열병합,34층,9층,1.6,1,1,77.27,196.96,49.84,150.96,서울시 서초구 서초중앙로 220,아파트,1,38.89,23.08,6785,700,0,5,540,0.042592593,0.101851852,0.035185185,apartment_1165010706
서울시 서초구 잠원동 162,반포센트럴자이,37.507069,127.001701,7동,지에스건설(주),2020,757,지역난방,열병합,35층,20층,1.58,0,1,82.17,155.55,59.97,114.96,서울시 서초구 반포대로 310-6,아파트,1,50,50,13884,1100,0,2,432,0.143518519,0.159722222,0.048611111,apartment_1165010648
서울시 서초구 잠원동 157,동아,37.509144,127.010552,8동,동아건설산업(주),2002,991,개별난방,도시가스,20층,6층,1.03,1,0,81.33,109.07,59.8,84.91,서울시 서초구 신반포로33길 15,아파트,1,30.43,11.11,10566,1100,1,3,567,0.162257496,0.186948854,0.035273369,apartment_1165010646
서울시 서초구 서초동 1311-10,서초푸르지오써밋,37.501348,127.021151,7동,(주)대우건설,2017,907,지역난방,열병합,35층,11층,1.41,1,1,80.96,160.83,59.62,120.98,서울시 서초구 서운로 201,아파트,1,37.84,20,12365,1100,0,4,502,0.119521912,0.11752988,0.057768924,apartment_1165010802
서울시 서초구 방배동 1028-1,방배그랑자이,37.476841,126.999627,8동,지에스건설(주),2021,758,지역난방,열병합,20층,16층,1.98,0,1,72.91,170.8,54.99,133.87,서울시 서초구 방배로 21,아파트,1,60,54.55,4029,700,1,6,397,0.073047859,0.153652393,0.065491184,apartment_1165010140
서울시 서초구 반포동 1342,반포써밋,37.50156,127.017953,8동,(주)대우건설,2018,764,지역난방,열병합,35층,9층,1.56,0,1,77.86,170.68,59.32,133.04,서울시 서초구 고무래로 89,아파트,1,40.63,25,16905,1200,0,3,608,0.141447368,0.131578947,0.0625,apartment_1165010713
서울시 서초구 잠원동 159,아크로리버뷰신반포,37.514868,127.007489,5동,대림산업(주),2018,595,개별난방,도시가스,35층,28층,1.49,0,1,109.57,117.92,78.48,84.82,서울시 서초구 잠원로 117,아파트,1,43.33,7.14,6325,1000,0,1,606,0.128712871,0.196369637,0.037953795,apartment_1165010603
서울시 서초구 서초동 1312-3,롯데캐슬클래식,37.500515,127.021806,15동,롯데건설(주),2006,990,지역난방,열병합,27층,15층,1.45,0,0,94.91,154.9,74.3,133.45,서울시 서초구 서운로 197,아파트,1,21.82,10,13936,1100,1,3,563,0.152753108,0.190053286,0.069271758,apartment_1165010803
서울시 서초구 서초동 1685-3,아크로비스타,37.498694,127.013031,3동,대림산업(주),2004,757,지역난방,열병합,37층,22층,2.7,0,1,128.37,305.47,101.81,242.26,서울시 서초구 서초중앙로 188,아파트,1,51.33,41.67,42915,700,0,4,887,0.117249154,0.215332582,0.064261556,apartment_1165010852
서울시 서초구 잠원동 160,신반포자이,37.510166,127.008408,7동,㈜GS건설,2018,607,지역난방,열병합,28층,23층,1.61,0,1,85.34,203.13,59.35,153.98,서울시 서초구 잠원로 60,아파트,1,38.3,31.82,6130,1100,1,2,406,0.155172414,0.140394089,0.022167488,apartment_1165010604
서울시 서초구 반포동 32-8,디에이치라클라스,37.500695,127.014008,6동,현대건설(주),2021,848,지역난방,열병합,35층,15층,1.8,0,1,69.11,173.86,50.98,132.98,서울시 서초구 서초중앙로 206,아파트,1,46.67,30,6785,1200,0,6,469,0.089552239,0.153518124,0.049040512,apartment_1165010725
서울시 서초구 서초동 1687,유원서초,37.496155,127.018584,4동,유원건설(주),1993,590,지역난방,열병합,18층,12층,0.7,1,0,105.8,105.86,84.82,84.87,서울시 서초구 서초중앙로24길 43,아파트,1,52.17,40.74,15687,900,0,5,613,0.099510604,0.1908646,0.055464927,apartment_1165010854
서울시 서초구 서초동 1754,래미안서초에스티지S,37.492859,127.027121,5동,삼성물산(주),2018,593,지역난방,열병합,32층,16층,1.44,1,1,111.13,171.74,84.17,134.27,서울시 서초구 서운로 104,아파트,1,39.32,31.94,3601,1300,1,3,577,0.117850953,0.150779896,0.050259965,apartment_1165010855
서울시 서초구 서초동 1333,신동아1차,37.492018,127.023953,6동,신동아건설(주),1978,893,중앙난방,열병합,13층,13층,1,1,1,82.17,170.14,75.86,157.2,서울시 서초구 사임당로 137,재건축,1,39.13,23.53,13611,700,1,2,746,0.124664879,0.1769437,0.057640751,apartment_1165010811
서울시 서초구 양재동 154-2,양재우성,37.474905,127.031343,10동,우성건설,1991,794,중앙난방,도시가스,15층,12층,0.94,1,1,89.42,101.38,73.15,84.91,서울시 서초구 바우뫼로 91,아파트,1,36.36,20.83,12661,500,1,2,526,0.079847909,0.159695817,0.095057034,apartment_1165010201
서울시 서초구 잠원동 56-3,잠원한신,37.516,127.010428,7동,한신공영,1992,540,지역난방,열병합,15층,15층,1,1,0,94.42,94.42,84.52,84.52,서울시 서초구 잠원로 150,아파트,1,36.59,20,9625,900,1,2,648,0.188271605,0.208333333,0.033950617,apartment_1165010619
서울시 서초구 우면동 753,서초호반써밋,37.456552,127.013065,6동,울트라건설(주),2013,550,개별난방,도시가스,25층,21층,2,0,1,128.07,213.47,101.01,165.5,서울시 서초구 양재대로2길 109,아파트,1,54.55,40,17228,0,0,3,530,0.067924528,0.203773585,0.083018868,apartment_1165010311
서울시 서초구 잠원동 158,래미안신반포팰리스,37.515289,127.012151,7동,삼성물산(주),2016,843,지역난방,열병합,35층,15층,1.55,1,1,111.79,169.02,84.42,133.06,서울시 서초구 잠원로8길 35,아파트,1,25,13.33,15241,900,0,2,445,0.166292135,0.186516854,0.035955056,apartment_1165010602
서울시 서초구 방배동 424-28,방배롯데캐슬아르떼,37.483848,126.984676,11동,롯데건설(주),2013,744,개별난방,도시가스,18층,10층,1.57,0,1,84.27,251.51,59.97,216.27,서울시 서초구 방배천로18길 11,아파트,1,20,18.18,7825,400,0,4,579,0.094991364,0.146804836,0.063903282,apartment_1165010116
서울시 서초구 방배동 1344,방배현대홈타운1차,37.489189,126.983417,8동,현대건설(주),1999,644,개별난방,도시가스,20층,11층,1.23,1,1,85.04,163.97,59.94,134.76,서울시 서초구 서초대로1길 30,아파트,1,33.33,16.67,18198,600,0,1,366,0.12568306,0.180327869,0.043715847,apartment_1165010109
서울시 서초구 서초동 1315,진흥,37.497326,127.022911,7동,진흥기업(주),1979,615,지역난방,열병합,15층,15층,1.21,1,0,107.5,172.16,101.32,160.46,서울시 서초구 서초대로 385,아파트,1,45.71,38.46,19360,1000,1,3,608,0.100328947,0.179276316,0.085526316,apartment_1165010804
서울시 서초구 방배동 1008-2,방배래미안아트힐,37.477688,127.005111,10동,삼성물산(주),2004,588,개별난방,도시가스,24층,17층,2.11,0,1,126.48,201.28,105.27,174.5,서울시 서초구 남부순환로 2311-12,아파트,0,12.5,7.69,16445,900,0,6,445,0.080898876,0.195505618,0.101123596,apartment_1165010102
서울시 서초구 서초동 1446-11,현대슈퍼빌,37.482825,127.016089,4동,현대건설(주),2003,645,지역난방,열병합,46층,22층,2.37,0,0,204.96,337.19,147.86,244.66,서울시 서초구 서초중앙로 15,아파트,1,56,50,16829,1100,1,5,661,0.072617247,0.136157337,0.084720121,apartment_1165010829
서울시 서초구 신원동 619,서초포레스타6단지,37.449807,127.055535,11동,계룡건설산업(주),2015,585,개별난방,도시가스,7층,7층,1.05,1,1,86.35,121.75,59.93,84.79,서울시 서초구 청계산로9길 1-12,아파트,1,33.33,12.5,6105,100,1,3,392,0.119897959,0.18622449,0.073979592,apartment_1165011104
서울시 서초구 신원동 579,서초포레스타5단지,37.451524,127.05712,11동,"한신공영(주), 에이스종합건설(주)",2014,547,개별난방,도시가스,17층,5층,1.27,1,1,80.4,154.33,59.93,114.92,서울시 서초구 청계산로7길 43,아파트,0,30.77,5.88,4996,100,1,4,435,0.096551724,0.181609195,0.062068966,apartment_1165011102
서울시 서초구 잠원동 58-16,신반포10차,37.512468,127.01371,5동,한신공영(주),1981,876,지역난방,열병합,12층,12층,0,0,1,57.64,81.69,53.88,76.32,서울시 서초구 나루터로4길 39,재건축,1,50,50,9984,900,0,2,634,0.105678233,0.187697161,0.069400631,apartment_1165010621
서울시 서초구 잠원동 60-3,신반포8차,37.511337,127.012084,9동,한신공영(주),1981,864,지역난방,열병합,12층,12층,0,1,0,56.43,154.86,52.74,143.03,서울시 서초구 나루터로4길 28,재건축,1,50,50,16725,1100,0,1,634,0.105678233,0.187697161,0.069400631,apartment_1165010626
서울시 서초구 잠원동 74-1번지 외 1필지,반포르엘,37.507392,127.003006,7동,롯데건설(주),2022,596,지역난방,열병합,35층,25층,1.77,0,1,79.34,156.21,59.94,121.6,서울시 서초구 잠원동 74-1번지 외 1필지,아파트분양권,1,50,50,17266,1200,1,11,404,0.034653465,0.155940594,0.032178218,apartment_1165010651
서울시 서초구 서초동 1301-6,래미안서초스위트,37.502179,127.020359,3동,삼성물산(주),2009,392,지역난방,열병합,31층,21층,1.28,0,0,80.1,125.96,59.99,95.8,서울시 서초구 서운로 221,아파트,1,37.5,25,24180,1100,0,2,380,0.1,0.160526316,0.042105263,apartment_1165010801
서울시 서초구 서초동 1686-9,서초교대e편한세상,37.496937,127.017375,6동,대림산업(주),2010,435,지역난방,열병합,20층,11층,1.75,0,0,81.47,224.42,59.9,176.35,서울시 서초구 서초중앙로24길 33,아파트,1,40,20,19651,900,0,12,696,0.100574713,0.186781609,0.073275862,apartment_1165010853
서울시 서초구 서초동 1332-13,래미안서초에스티지,37.492833,127.025172,4동,삼성물산(주),2016,421,지역난방,열병합,33층,15층,1.47,0,1,85.16,183.93,59.99,144.99,서울시 서초구 서운로 107,아파트,1,33.33,11.76,14018,700,0,2,611,0.091653028,0.170212766,0.070376432,apartment_1165010810
서울시 서초구 반포동 16-6,반포힐스테이트,37.501541,126.996878,5동,현대건설(주),2012,397,지역난방,열병합,29층,25층,1.76,0,0,86.6,190.99,59.7,155.95,서울시 서초구 신반포로16길 15-20,아파트,1,38.89,27.27,20841,600,0,4,733,0.227830832,0.162346521,0.025920873,apartment_1165010707
서울시 서초구 잠원동 53-15,강변,37.517893,127.012699,4동,한신공영,1987,360,지역난방,도시가스,15층,15층,0.9,0,0,89.35,101.08,66.29,84.53,서울시 서초구 잠원로 166-17,아파트,1,50,30,13696,900,1,3,624,0.190705128,0.137820513,0.025641026,apartment_1165010615
서울시 서초구 우면동 789,LH서초5단지,37.45932,127.025146,3동,울트라건설(주) 외1,2013,358,개별난방,도시가스,25층,13층,1.17,0,1,81.97,116.25,59.93,84.99,서울시 서초구 양재대로2길 11,아파트,1,35.48,15.79,10591,100,1,2,648,0.115740741,0.12808642,0.046296296,apartment_1165010313
서울시 서초구 서초동 1326-17,우성5차,37.494502,127.026894,2동,(주)우성건설,1998,408,지역난방,도시가스,23층,19층,1,0,1,74.48,167.83,57.26,134.91,서울시 서초구 서초대로74길 30,아파트,1,39.77,25.86,21471,1600,1,2,167,0.065868263,0.137724551,0.107784431,apartment_1165010808
서울시 서초구 잠원동 50-5,신반포12차,37.516073,127.014839,3동,수도배관(공용배관) 교체완료(2021년),1982,324,한신공영,(주),12층,12층,0.96,0,0,59.35,114.1,55.45,106.19,서울시 서초구 잠원로14길 41,재건축,1,50,20,3086,600,0,2,717,0.111576011,0.167364017,0.041841004,apartment_1165010611
서울시 서초구 잠원동 63-2,신반포청구,37.514334,127.008403,2동,주식회사 청구,1998,347,개별난방,도시가스,18층,14층,0,0,0,80.09,109.65,59.55,84.86,서울시 서초구 신반포로33길 66,아파트,1,38.1,3.33,10225,900,0,1,467,0.124197002,0.201284797,0.034261242,apartment_1165010633
서울시 서초구 잠원동 55-12,신반포16차,37.517509,127.00991,2동,한신공영(주),1983,396,지역난방,열병합,11층,11층,0,0,0,57.58,91.49,52.32,83.12,서울시 서초구 잠원로 157,아파트,1,24.49,9.09,9647,900,0,6,339,0.08259587,0.138643068,0.017699115,apartment_1165010617
서울시 서초구 방배동 3278,방배아트자이,37.480072,127.002326,5동,지에스건설(주),2018,353,지역난방,열병합,15층,10층,1.62,0,1,80.56,159.29,59.9,126.62,서울시 서초구 명달로9길 57,아파트,1,41.18,30,10067,700,0,6,655,0.091603053,0.145038168,0.038167939,apartment_1165010138
서울시 서초구 방배동 2001,방배현대홈타운2차,37.490473,126.98384,6동,현대건설,2001,384,개별난방,도시가스,20층,14층,1.26,0,0,81.58,176.05,59.86,147.26,서울시 서초구 서초대로1길 34,아파트,1,51.28,39.13,10344,400,1,1,532,0.142857143,0.161654135,0.05075188,apartment_1165010110
서울시 서초구 우면동 788,서초LH4단지,37.458206,127.023515,4동,울트라건설(주),2013,424,개별난방,도시가스,25층,21층,0,0,1,71.15,116.53,51.89,84.99,서울시 서초구 양재대로2길 33,아파트,1,41.38,21.05,11536,100,1,2,566,0.153710247,0.121908127,0.033568905,apartment_1165010314
서울시 서초구 서초동 1330,삼성쉐르빌II,37.49396,127.027795,1동,삼성중공업(주),2002,365,개별난방,도시가스,21층,12층,0.73,0,0,50.59,101.38,35.17,70.49,서울시 서초구 강남대로53길 11,아파트,1,58.54,55,8004,1300,0,1,396,0.015151515,0.098484848,0.022727273,apartment_1165010809
서울시 서초구 신원동 568,서초포레스타3단지,37.454873,127.058977,8동,한신공영(주)외1,2014,482,개별난방,도시가스,19층,9층,1.25,0,1,82.02,155.43,59.93,114.81,서울시 서초구 헌릉로8길 22,아파트,1,20.45,3.13,12935,200,1,5,411,0.065693431,0.187347932,0.077858881,apartment_1165011101
서울시 서초구 잠원동 50-1,롯데캐슬갤럭시2차,37.518663,127.016434,8동,롯데건설주식회사,2004,428,지역난방,열병합,28층,10층,1.99,0,0,128.98,168.28,109.56,148.86,서울시 서초구 잠원로14길 23,아파트,1,50,50,16385,900,0,2,536,0.138059701,0.201492537,0.063432836,apartment_1165010610
서울시 서초구 서초동 1445-14,더샵서초,37.484115,127.018345,3동,(주)포스코건설,2006,329,지역난방,열병합,32층,20층,3.42,0,1,43.93,286.95,30.39,235.86,서울시 서초구 서초중앙로2길 21,아파트,1,58.97,60,18212,1100,1,6,442,0.076923077,0.180995475,0.040723982,apartment_1165010827
서울시 서초구 잠원동 161,래미안신반포리오센트,37.518478,127.013762,6동,삼성물산㈜,2019,475,지역난방,열병합,32층,15층,1.81,0,1,85.91,172.8,59.92,133.37,서울시 서초구 잠원로14길 32,아파트,1,55.56,20,12293,900,1,3,410,0.119512195,0.13902439,0.017073171,apartment_1165010647
서울시 서초구 서초동 1445-4,래미안서초유니빌,37.484562,127.016915,1동,삼성물산(주),2003,440,개별난방,도시가스,24층,18층,0.82,0,1,46.34,90.38,34.05,66.41,서울시 서초구 서초중앙로 26,아파트,1,40.13,36.59,7247,1100,0,4,779,0.02182285,0.132220796,0.037227214,apartment_1165010828
서울시 서초구 서초동 1582-3,서초센트럴아이파크,37.486804,127.011758,2동,현대산업개발(주),2020,318,개별난방,도시가스,33층,33층,1.14,0,1,104.92,107.07,80.5,80.59,서울시 서초구 반포대로18길 36,아파트,1,46.51,33.93,267,600,1,5,1286,0.069984448,0.143856921,0.031104199,apartment_1165010858
서울시 서초구 반포동 60-5,반포미도2차,37.502504,127.007462,3동,한보주택건설,1989,435,지역난방,열병합,15층,15층,1,0,0,76.99,92.94,59.07,71.49,서울시 서초구 사평대로 240,아파트,1,33.33,9.09,5200,900,0,4,611,0.111292962,0.147299509,0.049099836,apartment_1165010718
서울시 서초구 방배동 866-20,방배대우디오빌,37.485971,126.984241,1동,(주)대우건설,2005,412,개별난방,도시가스,22층,4층,1.06,0,0,38.67,50.51,28.84,37.67,서울시 서초구 서초대로 17,아파트,1,41.18,36.36,9165,600,1,4,604,0.051324503,0.135761589,0.033112583,apartment_1165010130
서울시 서초구 잠원동 49-8,한강,37.521491,127.015231,5동,한신공영(주),1989,450,지역난방,열병합,15층,11층,1,0,0,94.84,103.75,76.68,84.53,서울시 서초구 잠원로 213-10,아파트,1,52,31.25,13601,1400,0,2,407,0.137592138,0.221130221,0.051597052,apartment_1165010608
서울시 서초구 방배동 906-13,방배서리풀e-편한세상,37.484312,126.998447,9동,대림산업(주),2010,496,개별난방,도시가스,15층,8층,1.88,0,1,83.92,210.7,59.94,164.46,서울시 서초구 효령로33길 50,아파트,0,45.45,25,19472,400,0,10,512,0.080078125,0.14453125,0.0625,apartment_1165010134
서울시 서초구 방배동 770-1,삼호1차,37.495335,126.987687,3동,삼호,1975,419,지역난방,열병합,12층,12층,2.38,0,0,80.85,164.16,78.02,162.77,서울시 서초구 방배로43길 5,아파트,1,61.54,41.67,11284,700,1,1,488,0.116803279,0.12704918,0.034836066,apartment_1165010123
서울시 서초구 방배동 754-1,롯데캐슬헤론,37.496713,126.984468,5동,롯데건설(주),2006,337,개별난방,도시가스,29층,12층,2.32,0,0,115.58,211.3,95.66,174.89,서울시 서초구 동광로1길 112,아파트,1,44.19,45,5002,400,0,1,1042,0.150671785,0.190019194,0.054702495,apartment_1165010120
서울시 서초구 서초동 1346,현대,37.485942,127.023523,5동,현대산업개발,1989,412,지역난방,열병합,15층,3층,1,0,1,91.52,109.27,62.05,84.8,서울시 서초구 효령로72길 14,아파트,1,28.57,12.5,12989,500,1,3,402,0.114427861,0.154228856,0.059701493,apartment_1165010820
서울시 서초구 우면동 57,대림,37.473128,127.023475,6동,대림산업,1995,412,중앙난방,도시가스,15층,14층,1.58,0,0,155.59,155.59,130.89,130.89,서울시 서초구 바우뫼로7길 51,아파트,0,37.5,33.33,9550,600,1,7,612,0.057189542,0.158496732,0.117647059,apartment_1165010301
서울시 서초구 반포동 70-1,한신서래,37.49929,127.00086,4동,한신공영(주),1987,414,지역난방,열병합,12층,8층,1.29,0,1,67.44,175.47,45.72,147.67,서울시 서초구 사평대로28길 31,아파트,1,47.06,36.36,16364,900,0,8,453,0.092715232,0.174392936,0.072847682,apartment_1165010721
서울시 서초구 방배동 2525,방배우성,37.474417,126.982972,9동,우성건설(주),1989,468,개별난방,도시가스,12층,12층,1,0,0,98.62,138.46,80.2,117.19,서울시 서초구 방배선행길 1,아파트,1,16.67,10,20890,600,1,4,477,0.062893082,0.157232704,0.115303983,apartment_1165010112
서울시 서초구 우면동 59,동고,37.471401,127.023757,5동,(주)동양고속건설,1995,330,개별난방,도시가스,15층,12층,0.85,0,0,96.98,105.47,77.14,84.96,서울시 서초구 바우뫼로7길 29,아파트,0,42.11,40,8504,600,0,7,531,0.075329567,0.128060264,0.065913371,apartment_1165010302
서울시 서초구 잠원동 65-32,신반포7차,37.512227,127.008577,3동,한신공영(주),1980,320,지역난방,열병합,10층,10층,1,0,0,116.4,153.62,107.29,140.04,서울시 서초구 잠원로 88,재건축,1,54.17,28.57,5484,900,0,1,535,0.108411215,0.196261682,0.106542056,apartment_1165010635
서울시 서초구 우면동 737,서초네이처힐6단지,37.461495,127.026712,7동,(주)태영건설,2013,382,개별난방,도시가스,17층,7층,1.12,0,0,81.93,155.53,59.99,114.98,서울시 서초구 태봉로2길 30,아파트,1,31.25,9.09,10730,0,1,2,500,0.118,0.148,0.046,apartment_1165010310
서울시 서초구 서초동 1593-7,서초이오빌,37.486602,127.012987,1동,경남기업(주),2003,462,개별난방,도시가스,24층,24층,0.72,0,0,48.96,78.09,36.66,58.48,서울시 서초구 효령로53길 45,아파트,1,43.59,25,2231,600,1,2,540,0.012962963,0.168518519,0.042592593,apartment_1165010840
서울시 서초구 방배동 725,삼호4차,37.497434,126.989672,6동,삼호주택,1983,481,지역난방,열병합,13층,12층,0,0,0,113.05,202.95,105.04,185.46,서울시 서초구 방배로 270,아파트,1,71.43,72.73,17449,700,0,5,498,0.138554217,0.176706827,0.064257028,apartment_1165010118
서울시 서초구 방배동 1011-1,임광3차,37.476288,127.002687,4동,임광토건(주),1988,316,중앙난방,도시가스,10층,10층,0,0,1,58.25,128.29,44.61,100.82,서울시 서초구 방배로2길 24-6,아파트,0,44.44,33.33,6833,700,1,7,521,0.061420345,0.151631478,0.065259117,apartment_1165010103
서울시 서초구 방배동 1015,"임광1,2차",37.476908,127.002419,6동,임광토건(주),1985,418,중앙난방,도시가스,11층,11층,1.1,0,0,116.28,160.67,84.78,136.38,서울시 서초구 방배로 14,아파트,0,54.55,25,11318,700,0,6,413,0.101694915,0.15496368,0.0968523,apartment_1165010104
서울시 서초구 방배동 2626,방배래미안,37.47268,126.984172,9동,삼성물산(주),2003,303,개별난방,도시가스,10층,7층,1.26,0,0,78.51,135.51,59.9,114.94,서울시 서초구 방배선행길 2,아파트,0,50,50,5950,600,0,9,429,0.104895105,0.172494172,0.058275058,apartment_1165010113
서울시 서초구 방배동 485-3,방배래미안타워,37.47484,126.991265,4동,삼성물산(주),2005,344,개별난방,도시가스,22층,22층,1.86,0,1,124.65,158.44,102.93,134.96,서울시 서초구 남부순환로 2183,아파트,0,41.67,15.38,15767,500,0,3,507,0.116370809,0.236686391,0.063116371,apartment_1165010117
서울시 서초구 방배동 1038,대우효령,37.479789,126.993675,6동,대우(주),1992,364,개별난방,도시가스,13층,11층,1,0,0,97.39,97.39,84.91,84.91,서울시 서초구 효령로 84,아파트,0,53.85,35.71,6179,400,1,14,426,0.124413146,0.192488263,0.061032864,apartment_1165010108
서울시 서초구 방배동 1018-1,삼익,37.479459,127.001481,4동,삼익주택건설,1981,408,중앙난방,도시가스,15층,12층,1.08,0,0,94.54,163.47,88.26,151.54,서울시 서초구 효령로34길 79,아파트,1,50,25,11915,700,1,4,609,0.090311987,0.185550082,0.047619048,apartment_1165010105
서울시 서초구 방배동 988-1,신동아,37.481269,127.001343,6동,신동아건설(주),1982,493,중앙난방,도시가스,15층,13층,1,1,0,109.43,199.34,102.65,175.14,서울시 서초구 효령로 164,아파트,1,63.64,40,13433,400,0,3,481,0.054054054,0.155925156,0.112266112,apartment_1165010139
